车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1489,普快,天津,20:30,芦台,当天21:34,21:38,佳木斯,22:50
1490,普快,佳木斯,18:20,芦台,第2日18:19,18:21,天津,19:22
2602/2603,普快,秦皇岛,17:20,芦台,当天20:34,20:37,大同,06:31
4424/4425,普快,秦皇岛,06:27,芦台,当天09:25,09:28,邯郸,21:20
4429,普快,北京,13:55,芦台,当天18:10,18:13,秦皇岛,21:59
K216,快速,图们,11:22,芦台,第2日09:01,09:03,北京,11:53
K2386/K2387,快速,南宁,22:40,芦台,第3日16:35,16:59,长春,05:04
K4789,快速,天津,20:30,芦台,当天21:48,21:51,佳木斯,20:28
K489,快速,天津,20:30,芦台,当天21:48,21:51,佳木斯,20:45
K7718/K7719,快速,衡水,07:30,芦台,当天12:40,12:42,秦皇岛,17:47
K7762/K7763,快速,邯郸,08:17,芦台,当天14:51,14:54,承德,20:01
