车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K6105/K6108,快速,蒙自,18:50,蒙自北,当天19:06,19:11,昆明,22:57
K6106/K6107,快速,昆明,14:00,蒙自北,当天17:15,17:20,蒙自,17:36
K6132/K6133,快速,昆明,11:18,蒙自北,当天15:58,15:58,蒙自北,15:58
K6134,快速,河口北,08:30,蒙自北,当天10:11,10:16,昆明,13:51
K9692/K9693/K9694,快速,河口北,17:00,蒙自北,当天18:41,18:46,大理,07:02
K9811/K9814,快速,蒙自,12:25,蒙自北,当天12:41,12:46,昆明,16:07
K9812/K9813,快速,昆明,07:51,蒙自北,当天11:05,11:10,蒙自,11:43
K9815/K9818,快速,河口北,07:00,蒙自北,当天08:41,08:46,昆明,12:40
K9822/K9823,快速,昆明,16:08,蒙自北,当天19:38,19:43,河口北,21:30
K9825/K9828,快速,河口北,09:40,蒙自北,当天11:38,11:43,昆明,15:31
K9826/K9827,快速,昆明,12:30,蒙自北,当天16:09,16:14,河口北,18:37
K9832/K9833,快速,昆明,10:52,蒙自北,当天14:23,14:28,河口北,16:14
