车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2674,动车组,嘉峪关南,13:05,门源,当天15:46,15:48,西安北,20:55
D2702,动车组,乌鲁木齐,08:29,门源,当天18:04,18:06,兰州西,20:08
D2704,动车组,乌鲁木齐,08:56,门源,当天18:42,18:44,兰州西,20:52
D2719,动车组,西宁,11:20,门源,当天12:05,12:07,乌鲁木齐,21:58
D2720,动车组,乌鲁木齐,11:20,门源,当天20:53,20:55,西宁,21:39
D2781,动车组,西宁,07:30,门源,当天08:41,08:43,嘉峪关南,10:47
D2782,动车组,嘉峪关南,11:25,门源,当天14:17,14:19,兰州西,16:20
D4719,动车组,西宁,08:40,门源,当天09:25,09:27,乌鲁木齐南,19:20
D8901,动车组,西宁,08:00,门源,当天08:45,08:45,门源,08:45
D8902,动车组,门源,09:18,门源,当天09:18,09:18,西宁,10:02
D8903,动车组,西宁,10:25,门源,当天11:03,11:03,门源,11:03
D8904,动车组,门源,11:34,门源,当天11:34,11:34,西宁,12:11
D8905,动车组,西宁,18:15,门源,当天18:53,18:53,门源,18:53
D8906,动车组,门源,19:20,门源,当天19:20,19:20,西宁,20:02
D8907,动车组,西宁,15:08,门源,当天15:53,15:53,门源,15:53
D8908,动车组,门源,16:23,门源,当天16:23,16:23,西宁,17:00
D8909,动车组,西宁,17:20,门源,当天18:05,18:05,门源,18:05
D8910,动车组,门源,18:35,门源,当天18:35,18:35,西宁,19:17
D8911,动车组,西宁,18:35,门源,当天19:13,19:13,门源,19:13
D8912,动车组,门源,19:40,门源,当天19:40,19:40,西宁,20:17
D9905,动车组,西宁,13:52,门源,当天14:30,14:30,门源,14:30
D9906,动车组,门源,15:06,门源,当天15:06,15:06,西宁,15:43
D9907,动车组,西宁,16:10,门源,当天16:48,16:48,门源,16:48
D9908,动车组,门源,17:17,门源,当天17:17,17:17,西宁,17:54
