车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G4011,高速动车,郑州东,13:56,明港东,当天15:01,15:04,广州南,20:25
G4537,高速动车,商丘,08:13,明港东,当天10:49,11:00,信阳东,11:15
G4538,高速动车,信阳东,11:49,明港东,当天12:02,12:08,商丘,14:43
G4540,高速动车,信阳东,09:08,明港东,当天09:22,09:24,郑州东,10:52
G510,高速动车,武汉,08:10,明港东,当天09:08,09:10,北京西,13:39
G546,高速动车,广州南,14:14,明港东,当天19:49,19:51,郑州东,21:11
G547,高速动车,郑州东,16:44,明港东,当天17:58,18:00,广州南,23:10
G551,高速动车,漯河西,08:00,明港东,当天08:37,08:39,深圳北,14:57
G554,高速动车,深圳北,13:29,明港东,当天20:40,20:42,漯河西,21:20
G556,高速动车,宜昌东,08:20,明港东,当天11:48,11:50,北京西,16:46
G836/G837,高速动车,广州南,11:30,明港东,当天16:45,16:47,西安北,20:10
