车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D9261,动车组,商丘,13:35,民权北,当天13:55,14:05,洛阳龙门,15:51
D9263,动车组,商丘,19:15,民权北,当天19:30,19:32,郑州东,20:12
D9270,动车组,灵宝西,17:08,民权北,当天19:47,19:49,商丘,20:05
D9271,动车组,商丘,20:36,民权北,当天20:51,20:53,郑州东,21:40
D9272,动车组,洛阳龙门,14:42,民权北,当天16:21,16:23,商丘,16:39
D9273/D9276,动车组,焦作,18:20,民权北,当天20:39,20:42,商丘,20:58
D9274/D9275,动车组,商丘,07:22,民权北,当天07:37,07:39,焦作,09:33
G1532,高速动车,贵阳北,12:30,民权北,当天20:59,21:01,徐州东,22:05
G1533,高速动车,徐州东,09:00,民权北,当天10:09,10:11,贵阳北,19:35
G1560/G1561,高速动车,商丘,07:13,民权北,当天07:28,07:30,北京西,12:19
G1801/G1804,高速动车,郑州东,07:35,民权北,当天08:14,08:16,上海虹桥,12:19
G1802/G1803,高速动车,上海虹桥,06:22,民权北,当天10:33,10:43,郑州东,11:39
G1805/G1808,高速动车,许昌东,07:53,民权北,当天09:10,09:12,上海虹桥,13:25
G1806/G1807,高速动车,上海虹桥,09:29,民权北,当天13:18,13:20,郑州东,14:00
G1813/G1816,高速动车,安阳东,09:05,民权北,当天11:04,11:10,上海虹桥,15:21
G1822/G1823,高速动车,上海虹桥,15:40,民权北,当天19:58,20:00,洛阳龙门,21:24
G1846,高速动车,荣成,10:00,民权北,当天17:33,17:35,西安北,21:03
G1852/G1853,高速动车,郑州东,08:37,民权北,当天09:23,09:25,青岛北,15:17
G1861/G1864,高速动车,郑州东,12:04,民权北,当天12:51,12:54,杭州东,17:04
G1878/G1879,高速动车,合肥南,06:55,民权北,当天09:46,09:48,西安北,12:56
G1886/G1887,高速动车,南京南,07:57,民权北,当天10:51,10:53,西安北,14:00
G1889/G1892,高速动车,郑州东,08:07,民权北,当天08:53,08:55,杭州东,13:20
G1890/G1891,高速动车,杭州东,16:52,民权北,当天21:05,21:07,郑州东,21:54
G1924/G1925,高速动车,上海虹桥,11:43,民权北,当天15:54,15:56,西安北,19:01
G1951/G1954,高速动车,太原南,12:26,民权北,当天17:20,17:22,上海虹桥,21:35
G1956/G1957,高速动车,上海虹桥,11:59,民权北,当天16:46,16:48,太原南,21:35
G1962/G1963,高速动车,宁波,14:01,民权北,当天19:04,19:06,郑州东,19:54
G1966/G1967,高速动车,温州南,15:32,民权北,当天22:39,22:41,郑州东,23:23
G1981,高速动车,徐州东,06:40,民权北,当天08:04,08:06,西安北,11:43
G1986,高速动车,西安北,16:07,民权北,当天19:16,19:18,徐州东,20:41
G2023,高速动车,商丘,08:17,民权北,当天08:32,08:34,兰州西,15:22
G280,高速动车,深圳北,07:43,民权北,当天15:15,15:17,济南西,18:04
G4309/G4312,高速动车,郑州东,20:03,民权北,当天20:49,20:51,上海虹桥,00:46
G4310/G4311,高速动车,上海虹桥,01:10,民权北,当天04:53,04:55,郑州东,05:43
G4313/G4316,高速动车,郑州东,20:27,民权北,当天21:13,21:15,杭州东,00:45
G4314/G4315,高速动车,杭州东,01:20,民权北,当天04:35,04:38,郑州东,05:27
G4318/G4319,高速动车,上海虹桥,15:18,民权北,当天19:31,19:33,西安北,22:45
G4337/G4340,高速动车,西安北,03:48,民权北,当天06:31,06:33,上海虹桥,11:12
G4537,高速动车,商丘,08:13,民权北,当天08:28,08:30,信阳东,11:15
G4538,高速动车,信阳东,11:49,民权北,当天14:25,14:27,商丘,14:43
G4701/G4704,高速动车,郑州东,05:45,民权北,当天06:31,06:33,上海虹桥,11:12
G4702/G4703,高速动车,上海虹桥,12:26,民权北,当天18:01,18:04,郑州东,18:52
G6603,高速动车,商丘,13:29,民权北,当天13:44,13:47,许昌东,15:14
G6605,高速动车,商丘,06:20,民权北,当天06:36,06:38,郑州东,07:33
G6606,高速动车,郑州东,21:18,民权北,当天22:15,22:18,商丘,22:34
G6611,高速动车,商丘,14:32,民权北,当天14:47,14:49,郑州,16:00
G801/G804,高速动车,北京西,09:15,民权北,当天13:19,13:21,商丘,13:36
G9201,高速动车,商丘,08:34,民权北,当天08:49,08:51,洛阳龙门,10:16
