车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5809,普快,喀什,09:28,墨玉,当天15:17,15:19,和田,15:38
5817/5820,普快,和田,16:44,墨玉,当天17:03,17:06,乌鲁木齐,20:53
5818/5819,普快,乌鲁木齐,11:27,墨玉,第2日13:11,13:13,和田,13:32
7560,普慢,和田,11:47,墨玉,当天12:04,12:06,喀什,18:19
7561/7564,普慢,和田,16:13,墨玉,当天16:32,16:38,乌鲁木齐南,16:38
7562/7563,普慢,乌鲁木齐南,12:14,墨玉,第2日13:05,13:07,和田,13:26
7565,普慢,喀什,08:30,墨玉,当天13:35,13:37,和田,13:56
7566,普慢,和田,18:41,墨玉,当天19:00,19:04,喀什,00:17
K6706,快速,克拉玛依,12:14,墨玉,当天20:13,20:19,和田,20:39
K6726,快速,克拉玛依,20:56,墨玉,第2日09:07,09:11,和田,09:30
T9592/T9593,空调特快,乌鲁木齐南,13:43,墨玉,第2日12:43,12:46,和田,13:05
T9594,空调特快,和田,14:22,墨玉,当天14:41,14:43,乌鲁木齐南,13:12
