车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2241/D2244,动车组,成都东,06:44,南丰,当天20:52,20:54,福州,23:08
D2601/D2604,动车组,福州,07:58,南丰,当天10:24,10:26,长沙南,13:45
D2602/D2603,动车组,长沙南,16:22,南丰,当天19:46,19:49,福州,22:20
D2606,动车组,长沙南,14:15,南丰,当天17:27,17:29,厦门北,21:06
D295/D298,动车组,郑州,08:24,南丰,当天16:25,16:27,福州,18:47
D3265,动车组,武汉,14:55,南丰,当天18:53,18:55,福州,21:24
D3276/D3277,动车组,汉口,08:30,南丰,当天13:11,13:13,厦门北,16:28
D6502,动车组,福州,08:29,南丰,当天10:49,10:51,南昌,12:22
D6503,动车组,南昌,09:46,南丰,当天11:09,11:11,福州,13:46
D6505,动车组,九江,09:17,南丰,当天11:54,11:56,福州,14:23
D6508,动车组,福州,14:40,南丰,当天17:05,17:07,九江,19:39
D6509,动车组,南昌西,14:43,南丰,当天15:53,15:55,福州,18:23
D6510,动车组,福州,17:47,南丰,当天20:13,20:15,南昌,21:46
D6523,动车组,南昌西,08:53,南丰,当天10:03,10:05,厦门,13:51
D6524,动车组,厦门北,08:49,南丰,当天12:35,12:38,南昌西,13:47
D6530,动车组,厦门北,16:46,南丰,当天19:55,19:57,南昌西,21:12
D6531,动车组,南昌,17:13,南丰,当天18:42,18:44,厦门,22:34
D6548,动车组,南丰,08:08,南丰,当天08:08,08:08,南昌西,09:23
D9591,动车组,南昌,17:39,南丰,当天19:31,19:31,南丰,19:31
D9592,动车组,南丰,20:13,南丰,当天20:13,20:13,南昌,21:38
D9867,动车组,南昌西,15:20,南丰,当天16:47,16:47,南丰,16:47
D9868,动车组,南丰,17:19,南丰,当天17:19,17:19,南昌西,18:36
D9923,动车组,南昌西,08:53,南丰,当天10:03,10:05,厦门,13:48
D9929,动车组,南昌,12:47,南丰,当天14:13,14:15,漳州,18:05
D9934/D9935,动车组,龙岩,15:25,南丰,当天20:38,20:41,南昌西,21:52
D9969,动车组,南昌,09:03,南丰,当天10:41,10:41,南丰,10:41
D9970,动车组,南丰,12:07,南丰,当天12:07,12:07,南昌,13:43
D9971/D9974,动车组,南丰,21:45,南丰,当天21:45,21:45,南昌,23:14
D9972/D9973,动车组,南昌,19:59,南丰,当天21:30,21:30,南丰,21:30
D9991/D9994,动车组,南昌西,08:59,南丰,当天10:09,10:11,厦门,13:57
D9992/D9993,动车组,厦门,14:12,南丰,当天17:47,17:49,南昌西,19:00
