车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3794/D3795,动车组,广州南,16:28,南宁西,当天21:27,21:29,百色,22:52
D3817/D3820,动车组,昆明南,09:44,南宁西,当天14:05,14:07,广州南,18:49
D3858/D3859,动车组,广州南,13:44,南宁西,当天18:17,18:19,昆明南,22:31
D3916,动车组,昆明南,17:22,南宁西,当天21:44,21:46,南宁东,22:28
D3943,动车组,衡阳东,07:05,南宁西,当天13:26,13:28,昆明南,18:00
D4203,动车组,南宁东,09:28,南宁西,当天10:05,10:07,昆明南,14:35
D4204,动车组,昆明南,08:30,南宁西,当天13:02,13:05,南宁,13:28
D4212/D4213,动车组,南宁,15:40,南宁西,当天16:02,16:04,昆明南,20:38
D8334,动车组,百色,19:45,南宁西,当天20:55,20:57,南宁东,21:35
D8335,动车组,南宁东,10:25,南宁西,当天11:04,11:06,百色,12:37
D8342,动车组,百色,12:58,南宁西,当天14:17,14:19,桂林,17:40
D8361,动车组,南宁东,10:22,南宁西,当天11:03,11:05,百色,12:36
D9676,动车组,百色,09:00,南宁西,当天10:35,10:38,南宁东,11:16
