车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D4651/D4654,动车组,宁波,15:05,南平北,当天19:54,19:56,武夷山东,20:35
D4652/D4653,动车组,武夷山东,09:12,南平北,当天09:49,09:51,宁波,14:36
D6241,动车组,武夷山东,14:47,南平北,当天15:18,15:20,厦门北,18:01
D6242,动车组,厦门,11:23,南平北,当天14:32,14:34,武夷山东,15:07
D9981/D9984,动车组,福州南,07:16,南平北,当天08:15,08:17,武夷山东,08:49
D9982/D9983,动车组,武夷山东,20:59,南平北,当天21:30,21:33,福州,22:14
G1611,高速动车,合肥南,07:35,南平北,当天11:09,11:11,厦门北,13:43
G1621,高速动车,合肥南,08:00,南平北,当天11:54,11:56,福州,12:33
G1631,高速动车,上海虹桥,07:54,南平北,当天11:32,11:34,福州,12:18
G1632,高速动车,福州,08:00,南平北,当天08:41,08:43,上海虹桥,12:35
G1633,高速动车,上海虹桥,12:25,南平北,当天16:25,16:27,福州,17:17
G1635,高速动车,上海虹桥,14:35,南平北,当天18:20,18:23,福州,18:59
G1636,高速动车,福州,12:26,南平北,当天13:07,13:09,上海虹桥,16:55
G1637,高速动车,上海虹桥,15:17,南平北,当天19:33,19:35,福州,20:18
G1638,高速动车,福州,12:45,南平北,当天13:19,13:21,上海虹桥,17:21
G1639,高速动车,上海虹桥,17:22,南平北,当天21:23,21:25,福州,22:08
G1641,高速动车,杭州东,18:58,南平北,当天21:46,21:49,福州,22:26
G1642,高速动车,福州,14:45,南平北,当天15:19,15:21,杭州东,18:32
G1651,高速动车,上海虹桥,06:56,南平北,当天11:02,11:04,厦门北,13:31
G1653,高速动车,上海虹桥,08:15,南平北,当天12:15,12:17,厦门北,14:40
G1655,高速动车,上海虹桥,09:23,南平北,当天13:12,13:14,厦门北,15:44
G1656,高速动车,厦门北,14:09,南平北,当天16:30,16:32,上海虹桥,20:38
G1657,高速动车,上海虹桥,10:18,南平北,当天14:03,14:05,厦门北,16:46
G1658,高速动车,厦门北,16:15,南平北,当天18:41,18:43,上海虹桥,22:47
G1659,高速动车,上海虹桥,12:57,南平北,当天16:47,16:49,厦门北,19:44
G1661/G1664,高速动车,南京南,08:22,南平北,当天12:50,12:52,龙岩,17:04
G1671,高速动车,南京南,07:00,南平北,当天11:41,11:49,厦门北,14:28
G1673,高速动车,徐州东,06:58,南平北,当天12:27,12:29,厦门北,14:59
G1676,高速动车,厦门北,14:52,南平北,当天17:19,17:21,徐州东,23:06
G1685/G1688,高速动车,厦门北,09:21,南平北,当天12:03,12:05,贵阳北,20:29
G1686/G1687,高速动车,贵阳北,09:34,南平北,当天17:45,17:48,厦门北,20:28
G1692/G1693,高速动车,长沙南,08:18,南平北,当天12:39,12:44,厦门北,15:07
G1695/G1698,高速动车,福州,08:42,南平北,当天09:16,09:18,昆明南,19:28
G1905/G1908,高速动车,郑州东,06:30,南平北,当天14:15,14:17,福州,15:00
G1906/G1907,高速动车,福州,15:22,南平北,当天15:56,15:58,郑州东,23:07
G303,高速动车,北京南,12:30,南平北,当天21:04,21:07,福州,21:43
G353,高速动车,黄山北,10:41,南平北,当天12:55,12:57,福州,13:40
G354,高速动车,福州,07:17,南平北,当天08:05,08:07,黄山北,10:01
G4021,高速动车,黄山北,10:37,南平北,当天12:45,12:50,福州,13:25
G4022,高速动车,福州,16:14,南平北,当天16:48,16:50,黄山北,18:51
G4031/G4034,高速动车,南昌西,06:50,南平北,当天09:01,09:03,深圳北,15:34
G4531/G4534,高速动车,南昌西,06:50,南平北,当天09:01,09:03,深圳北,15:34
G4881,高速动车,上海虹桥,01:39,南平北,当天05:00,05:12,福州,06:03
G4882,高速动车,厦门北,19:09,南平北,当天21:53,21:56,上海虹桥,01:19
G5105,高速动车,上饶,07:25,南平北,当天08:37,08:39,福州,09:22
G5106,高速动车,福州,19:45,南平北,当天20:33,20:35,上饶,21:48
G5202/G5203,高速动车,福州,17:07,南平北,当天17:48,17:50,南昌西,20:18
G5205/G5208,高速动车,南昌西,13:29,南平北,当天15:51,15:53,厦门,18:58
G5206/G5207,高速动车,厦门,10:57,南平北,当天14:17,14:19,南昌西,16:58
G5215,高速动车,婺源,09:51,南平北,当天11:19,11:21,福州,12:04
G5216,高速动车,福州,07:15,南平北,当天07:56,07:58,婺源,09:35
G5251,高速动车,武夷山东,11:41,南平北,当天12:07,12:09,福州,13:07
G5252,高速动车,福州,07:44,南平北,当天08:25,08:27,武夷山北,09:17
G5253,高速动车,武夷山北,18:00,南平北,当天18:59,19:01,福州,19:44
G5254,高速动车,福州,17:02,南平北,当天17:50,17:52,武夷山东,18:26
G5301,高速动车,武夷山北,09:55,南平北,当天10:36,10:38,厦门北,13:15
G5303,高速动车,武夷山东,18:58,南平北,当天19:24,19:26,厦门,22:28
G5305/G5308,高速动车,南昌西,07:52,南平北,当天10:35,10:37,厦门北,13:15
G5306/G5307,高速动车,厦门北,14:04,南平北,当天16:44,16:46,南昌西,19:32
G5905/G5908,高速动车,南昌西,12:58,南平北,当天15:28,15:31,厦门,18:25
G8903,高速动车,南平北,06:40,南平北,当天06:40,06:40,福州,07:30
G8904,高速动车,福州,19:20,南平北,当天20:08,20:08,南平北,20:08
G8997,高速动车,上饶,19:20,南平北,当天20:50,20:53,莆田,22:43
