车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5815,普快,乌鲁木齐南,21:21,尼勒克,第2日04:42,04:48,伊宁,07:00
5816,普快,伊宁,21:38,尼勒克,当天22:46,23:01,乌鲁木齐南,08:47
K6701,快速,乌鲁木齐南,23:55,尼勒克,第2日08:13,08:23,伊宁,09:20
K6702,快速,伊宁,20:29,尼勒克,当天21:20,21:47,乌鲁木齐南,07:00
K9765,快速,乌鲁木齐,19:02,尼勒克,第2日03:41,03:47,霍尔果斯,07:42
K9766,快速,霍尔果斯,21:30,尼勒克,第2日01:22,01:29,乌鲁木齐,10:52
K9789,快速,乌鲁木齐,20:07,尼勒克,第2日03:52,03:59,霍尔果斯,07:43
K9790,快速,霍尔果斯,20:00,尼勒克,当天23:02,23:04,乌鲁木齐,06:30
K9793,快速,乌鲁木齐,22:56,尼勒克,第2日07:29,07:34,伊宁,08:31
K9794,快速,伊宁,21:00,尼勒克,当天21:47,21:53,乌鲁木齐,06:05
T9501,空调特快,乌鲁木齐,23:02,尼勒克,第2日05:42,06:01,伊宁,06:49
Z6519,直达特快,乌鲁木齐,09:25,尼勒克,当天14:25,14:27,伊宁,15:15
