车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3109,动车组,温州南,07:18,宁德,当天08:51,08:54,福州,09:38
D3110,动车组,福州,20:24,宁德,当天21:14,21:16,温州南,22:37
D3170,动车组,福州南,06:42,宁德,当天07:20,07:22,杭州东,11:42
D3211,动车组,宁波,07:31,宁德,当天10:50,10:52,厦门北,13:03
D3212,动车组,厦门北,17:14,宁德,当天19:21,19:23,宁波,22:31
D4165,动车组,金华南,16:56,宁德,当天19:43,19:45,福州,20:34
D4166,动车组,福州,12:52,宁德,当天13:42,13:44,金华南,16:36
D6313,动车组,福鼎,17:46,宁德,当天18:57,18:59,福州,19:40
D6314,动车组,福州,14:46,宁德,当天15:47,15:49,福鼎,16:39
D6331,动车组,福鼎,12:44,宁德,当天13:21,13:25,厦门,16:01
D6333,动车组,福鼎,15:50,宁德,当天16:39,16:41,厦门,19:05
D6334,动车组,厦门,12:04,宁德,当天14:44,14:46,福鼎,15:30
D6335,动车组,福鼎,10:29,宁德,当天11:25,11:27,福州,12:23
D6336,动车组,福州,08:34,宁德,当天09:30,09:32,福鼎,10:09
D6337,动车组,福鼎,20:31,宁德,当天21:20,21:22,福州,22:12
D6338,动车组,福州,17:56,宁德,当天18:46,18:48,福鼎,19:44
D6339,动车组,福鼎,16:47,宁德,当天17:24,17:26,福州,18:25
D6340,动车组,福州,14:45,宁德,当天15:51,15:53,福鼎,16:32
D6381/D6384,动车组,福鼎,11:54,宁德,当天12:31,12:34,龙岩,16:25
D6382/D6383,动车组,龙岩,07:12,宁德,当天10:43,10:45,福鼎,11:36
D6393,动车组,福鼎,18:34,宁德,当天19:29,19:31,福州南,20:13
D6394,动车组,厦门,14:06,宁德,当天17:03,17:05,福鼎,17:56
D8928,动车组,福州南,20:15,宁德,当天20:58,21:00,福鼎,21:50
D9633,动车组,福鼎,15:20,宁德,当天16:04,16:06,厦门北,18:35
D9855/D9858,动车组,福鼎,15:11,宁德,当天16:02,16:04,龙岩,20:07
D9859,动车组,福鼎,21:04,宁德,当天21:53,21:55,福州,22:39
D9860,动车组,福州,19:12,宁德,当天19:56,19:58,福鼎,20:37
D9871,动车组,福鼎,17:20,宁德,当天18:03,18:05,福州,18:53
D9872,动车组,福州,19:20,宁德,当天20:00,20:02,福鼎,20:53
D9873,动车组,福鼎,21:15,宁德,当天21:58,22:01,福州,22:50
D9903,动车组,宁德,19:51,宁德,当天19:51,19:51,福州南,20:41
D9904,动车组,福州南,18:20,宁德,当天19:10,19:10,宁德,19:10
D9941,动车组,福鼎,15:00,宁德,当天15:37,15:39,福州,16:26
D9975,动车组,福鼎,14:20,宁德,当天15:09,15:11,福州南,15:51
D9976/D9977,动车组,宁德,19:25,宁德,当天19:25,19:25,福州南,20:16
D9978,动车组,福州南,18:20,宁德,当天19:10,19:10,宁德,19:10
D9988,动车组,福州,19:59,宁德,当天20:49,20:51,福鼎,21:35
D9989,动车组,福鼎,11:02,宁德,当天12:02,12:04,福州,13:02
D9990,动车组,福州,09:19,宁德,当天10:09,10:11,福鼎,10:48
