车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1303,普快,北京西,22:35,宁陵县,第2日07:30,07:33,郑州,09:23
1488,普快,郑州,20:55,宁陵县,当天23:20,23:34,北京西,10:00
2276/2277,普快,杭州,15:31,宁陵县,第2日05:49,05:52,郑州,07:54
2593/2596,普快,郑州,20:40,宁陵县,当天22:40,22:43,杭州,13:20
3386/3387,普快,郑州,16:00,宁陵县,当天18:03,18:13,东莞东,20:45
K1160/K1161,快速,广州,08:15,宁陵县,第2日07:27,08:00,烟台,21:36
K1359/K1362,快速,烟台,16:55,宁陵县,第2日06:59,07:01,郑州,09:01
K1651/K1654,快速,郑州,20:41,宁陵县,当天22:40,22:43,杭州,13:20
K175,快速,商丘,17:20,宁陵县,当天17:47,17:57,乌鲁木齐,12:34
K233/K236,快速,石家庄,13:00,宁陵县,当天20:28,20:38,上海,09:23
K2502/K2503,快速,商丘,18:18,宁陵县,当天18:45,18:48,银川,19:42
K360/K361,快速,上海,09:23,宁陵县,当天20:32,20:36,银川,20:04
K4045/K4048,快速,新乡,07:54,宁陵县,当天11:30,11:35,上海,00:18
K4046/K4047,快速,上海,02:50,宁陵县,当天15:15,15:19,新乡,19:00
K4056/K4057,快速,郑州,12:39,宁陵县,当天14:56,14:59,上海,04:18
K4162,快速,杭州,17:34,宁陵县,第2日08:23,08:26,郑州,10:29
K4185/K4188,快速,西安,12:49,宁陵县,当天23:55,23:59,上海,13:24
K4189/K4192,快速,西安,01:57,宁陵县,当天13:43,13:48,上海,02:00
K4246/K4247,快速,昆山,19:55,宁陵县,第2日12:08,12:18,兰州,09:45
K4362/K4363,快速,杭州,06:24,宁陵县,当天21:53,21:58,郑州,00:35
K5358,快速,洛阳,07:58,宁陵县,当天12:10,12:13,商丘,12:41
K5389,快速,商丘,14:47,宁陵县,当天15:14,15:16,洛阳,20:00
K5390,快速,洛阳,09:30,宁陵县,当天13:33,13:37,商丘,14:05
K716/K717,快速,郑州,14:55,宁陵县,当天16:55,17:12,大连,15:04
K7955/K7958,快速,新乡,13:09,宁陵县,当天16:37,16:42,商丘,17:10
K8002,快速,郑州,13:08,宁陵县,当天15:11,15:15,商丘,15:44
K926/K927,快速,郑州,15:28,宁陵县,当天17:28,17:30,哈尔滨东,18:41
