车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2035/2038,普快,图们,19:56,平房,第2日07:07,07:09,香坊,08:30
2036/2037,普快,香坊,19:55,平房,当天20:26,20:28,图们,07:40
6021,普慢,吉林,07:28,平房,当天13:05,13:15,哈尔滨东,14:00
6022,普慢,哈尔滨东,15:40,平房,当天16:20,16:22,吉林,21:55
6227,普慢,五常,18:00,平房,当天20:04,20:05,哈尔滨东,21:00
6228,普慢,哈尔滨东,15:00,平房,当天15:45,15:53,五常,17:33
6231,普慢,五常,07:56,平房,当天09:59,10:06,哈尔滨东,10:50
6232,普慢,香坊,08:15,平房,当天08:54,08:57,五常,10:32
6233,普慢,五常,13:43,平房,当天15:21,15:23,香坊,16:02
6234,普慢,香坊,17:20,平房,当天17:57,17:59,五常,19:58
6235,普慢,五常,11:52,平房,当天13:36,13:39,哈尔滨东,14:17
6236,普慢,哈尔滨东,08:35,平房,当天09:20,09:35,五常,11:25
6293,普慢,五常,08:30,平房,当天11:02,11:04,哈尔滨,12:10
6294,普慢,香坊,05:47,平房,当天06:06,06:08,五常,08:05
6953/6954,普慢,双城堡,17:43,平房,当天19:25,19:25,平房,19:25
6955/6956,普慢,平房,19:52,平房,当天19:52,19:52,双城堡,21:29
K2035/K2038,快速,图们,20:43,平房,第2日06:19,06:21,香坊,06:53
K2036/K2037,快速,香坊,19:55,平房,当天20:27,20:31,图们,06:45
K5111,快速,五常,11:52,平房,当天13:36,13:39,香坊,14:13
K5112,快速,香坊,08:52,平房,当天09:27,09:31,五常,11:25
K5113,快速,五常,18:00,平房,当天20:04,20:05,哈尔滨东,21:00
K5114,快速,哈尔滨东,15:08,平房,当天15:45,15:59,五常,17:33
K7213,快速,五常,09:33,平房,当天10:38,10:40,香坊,11:03
K7214,快速,香坊,11:23,平房,当天11:42,11:44,五常,12:55
K7218,快速,香坊,16:57,平房,当天17:21,17:23,五常,18:36
