车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K9358,快速,纳雍,10:50,普定,当天12:46,12:50,贵阳,14:51
K9359,快速,贵阳,15:44,普定,当天17:40,17:47,织金,19:09
K9360,快速,织金,19:52,普定,当天20:49,20:52,贵阳,22:48
K9381,快速,贵阳,07:45,普定,当天09:41,09:44,纳雍,11:47
K9382,快速,纳雍,12:35,普定,当天14:32,14:37,贵阳,16:36
K9386,快速,纳雍,17:22,普定,当天19:24,19:31,贵阳,21:25
K9387/K9390,快速,贵阳,16:40,普定,当天18:40,18:43,纳雍,20:35
K9571,快速,贵阳,07:40,普定,当天09:41,09:47,大方南,11:50
K9572/K9573,快速,大方南,12:33,普定,当天14:31,14:39,贵阳,16:36
K9576/K9577,快速,大方南,08:38,普定,当天10:29,10:32,贵阳,12:30
