车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2051,普快,大连,12:23,普兰店,当天13:24,13:26,牡丹江,05:28
2061,普快,大连,13:44,普兰店,当天14:50,14:53,加格达奇,13:56
2083,普快,大连,08:49,普兰店,当天09:50,09:53,海拉尔,09:22
2728,普快,绥芬河,16:05,普兰店,第2日10:12,10:15,大连,11:26
K1566/K1567,快速,包头,12:40,普兰店,第2日18:34,18:37,大连,19:49
K4831/K4834,快速,佳木斯,14:06,普兰店,第2日10:44,10:47,大连,12:02
K5001,快速,大连,06:30,普兰店,当天07:45,07:49,白城,20:13
K5002,快速,白城,15:10,普兰店,第2日03:24,03:27,大连,04:47
K5029,快速,大连,10:00,普兰店,当天11:10,11:12,熊岳城,12:24
K5030,快速,熊岳城,13:32,普兰店,当天14:44,14:47,大连,15:56
K549,快速,大连,17:02,普兰店,当天18:04,18:07,齐齐哈尔,07:50
K55/K58,快速,大连,11:45,普兰店,当天12:48,12:51,包头,12:16
K56/K57,快速,包头,18:18,普兰店,第2日18:02,18:04,大连,19:12
K681/K684,快速,北京,20:04,普兰店,第2日07:01,07:03,大连,08:04
K682/K683,快速,大连,20:02,普兰店,当天21:03,21:05,北京,08:25
K715/K718,快速,大连,13:36,普兰店,当天14:38,14:41,郑州,13:30
K716/K717,快速,郑州,14:55,普兰店,第2日13:49,13:52,大连,15:04
K7375,快速,大连,17:19,普兰店,当天18:20,18:23,吉林,06:26
K7376,快速,吉林,15:45,普兰店,第2日04:02,04:05,大连,05:41
K7381,快速,大连,13:16,普兰店,当天14:17,14:20,沈阳北,19:20
K7382,快速,沈阳北,06:52,普兰店,当天11:36,11:39,大连,12:46
K7385,快速,大连,16:25,普兰店,当天17:30,17:32,通化,07:07
K7386,快速,通化,17:33,普兰店,第2日07:17,07:20,大连,08:36
K7459/K7462,快速,大连,07:00,普兰店,当天08:08,08:11,通辽,18:20
K7460/K7461,快速,通辽,08:45,普兰店,当天18:45,18:47,大连,20:02
K7511,快速,大连,14:00,普兰店,当天15:01,15:04,白河,09:15
K7512,快速,白河,17:35,普兰店,第2日11:49,11:51,大连,12:58
K7528,快速,珠斯花,14:03,普兰店,第2日04:24,04:27,大连,05:33
K929,快速,大连,16:38,普兰店,当天17:39,17:42,佳木斯,11:59
T131/T134,空调特快,大连,11:34,普兰店,当天12:36,12:39,上海,12:42
T261,空调特快,大连,16:14,普兰店,当天17:14,17:17,牡丹江,07:43
