车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2206/D2207,动车组,上海虹桥,06:38,潜江,当天13:30,13:32,成都,22:01
D2215/D2218,动车组,重庆北,08:39,潜江,当天14:03,14:05,上海虹桥,21:20
D2216/D2217,动车组,上海虹桥,08:39,潜江,当天15:35,15:37,重庆北,21:16
D2222/D2223,动车组,杭州东,07:34,潜江,当天14:16,14:18,成都东,22:10
D2225/D2228,动车组,重庆北,08:59,潜江,当天14:22,14:24,福州,22:33
D2251,动车组,汉口,07:51,潜江,当天08:43,08:45,重庆北,14:44
D2252,动车组,重庆北,15:26,潜江,当天21:03,21:05,汉口,21:56
D2254/D2255,动车组,宜兴,07:20,潜江,当天12:47,12:49,成都东,20:54
D2259,动车组,汉口,10:43,潜江,当天11:39,11:41,成都东,19:32
D2261/D2264,动车组,成都东,09:05,潜江,当天16:44,16:46,杭州东,22:56
D2267/D2270,动车组,重庆北,07:33,潜江,当天13:01,13:05,南通,20:36
D2271,动车组,南京南,11:39,潜江,当天16:31,16:33,重庆北,22:19
D2272,动车组,重庆北,08:29,潜江,当天13:53,13:55,南京南,19:06
D2276/D2277,动车组,武汉,08:11,潜江,当天09:33,09:36,重庆北,15:21
D2374,动车组,成都东,09:29,潜江,当天17:24,17:26,南京南,22:11
D3005/D3008,动车组,宜昌东,06:40,潜江,当天07:46,07:48,上海虹桥,15:15
D3006/D3007,动车组,上海虹桥,13:53,潜江,当天20:20,20:22,宜昌东,21:22
D3071/D3074,动车组,宜昌东,13:32,潜江,当天14:32,14:34,上海虹桥,21:25
D3072/D3073,动车组,上海虹桥,06:50,潜江,当天13:48,13:50,宜昌东,14:57
D3078,动车组,宜昌东,15:17,潜江,当天16:17,16:19,南京南,21:02
D3255/D3258,动车组,宜昌东,08:56,潜江,当天10:02,10:04,南昌西,14:46
D3256/D3257,动车组,南昌西,15:13,潜江,当天19:08,19:10,宜昌东,20:12
D351/D354,动车组,成都东,08:12,潜江,当天15:48,15:50,上海虹桥,22:56
D365/D368,动车组,成都东,10:55,潜江,当天18:37,18:39,武汉,20:05
D5711/D5714,动车组,宜昌东,07:42,潜江,当天08:48,08:50,武昌,10:00
D5715/D5718,动车组,宜昌东,13:43,潜江,当天14:45,14:48,武昌,15:57
D5721/D5724,动车组,利川,15:40,潜江,当天19:21,19:23,武昌,21:00
D5722/D5723,动车组,武昌,16:25,潜江,当天17:35,17:37,宜昌东,18:39
D5725/D5728,动车组,宜昌东,18:10,潜江,当天19:10,19:12,武昌,20:17
D5726/D5727,动车组,武昌,20:41,潜江,当天21:48,21:50,宜昌东,22:51
D5732/D5733,动车组,武昌,17:40,潜江,当天18:48,18:50,宜昌东,19:50
D5801,动车组,汉口,17:05,潜江,当天18:01,18:03,宜昌东,19:05
D5802,动车组,宜昌东,19:30,潜江,当天20:30,20:32,汉口,21:33
D5815,动车组,汉口,06:35,潜江,当天07:25,07:27,宜昌东,08:28
D5819,动车组,汉口,07:58,潜江,当天08:56,08:58,宜昌东,10:01
D5820,动车组,宜昌东,16:08,潜江,当天17:14,17:16,汉口,18:22
D5826,动车组,宜昌东,18:47,潜江,当天19:49,19:52,汉口,20:45
D5835,动车组,汉口,17:33,潜江,当天18:29,18:31,荆州,18:57
D5837,动车组,汉口,19:30,潜江,当天20:38,20:40,宜昌东,21:42
D5838,动车组,宜昌东,19:30,潜江,当天20:32,20:35,汉口,21:40
D5842,动车组,宜昌东,19:00,潜江,当天20:00,20:02,汉口,20:56
D5843,动车组,汉口,16:20,潜江,当天17:20,17:22,宜昌东,18:27
D5851/D5854,动车组,宜昌东,06:16,潜江,当天07:22,07:24,武汉,09:03
D5855/D5858,动车组,宜昌东,09:13,潜江,当天10:13,10:15,汉口,11:13
D5861/D5864,动车组,宜昌东,12:24,潜江,当天13:33,13:35,武汉,15:22
D5862/D5863,动车组,武汉,15:42,潜江,当天17:16,17:18,宜昌东,18:25
D5871,动车组,汉口,17:19,潜江,当天18:16,18:18,宜昌东,19:19
D5873,动车组,汉口,18:06,潜江,当天18:57,18:59,宜昌东,20:00
D5876/D5877,动车组,武汉,14:30,潜江,当天15:53,15:55,宜昌东,17:02
D5888,动车组,荆州,11:32,潜江,当天11:57,11:59,汉口,13:12
D5891,动车组,汉口,16:18,潜江,当天18:05,18:07,荆州,18:35
D5904,动车组,荆州,08:00,潜江,当天08:25,08:27,武汉,10:01
D5906/D5907,动车组,武汉,07:06,潜江,当天08:24,08:26,宜昌东,09:27
D5912/D5913,动车组,黄冈东,08:00,潜江,当天10:10,10:12,利川,14:00
D5918/D5919,动车组,武汉,16:16,潜江,当天17:42,17:44,宜昌东,18:47
D5920,动车组,宜昌东,19:10,潜江,当天20:10,20:12,武汉,21:39
D5933,动车组,汉口,08:53,潜江,当天10:00,10:04,荆州,10:31
D5946/D5947,动车组,大冶北,13:18,潜江,当天16:01,16:03,宜昌东,17:07
D5951/D5954,动车组,宜昌东,17:08,潜江,当天18:09,18:12,大冶北,20:36
D5952/D5953,动车组,大冶北,07:43,潜江,当天09:54,09:56,宜昌东,10:58
D5955,动车组,汉口,13:42,潜江,当天14:43,14:45,宜昌东,15:46
D5968,动车组,荆州,20:27,潜江,当天20:54,20:56,武汉,22:17
D5978,动车组,宜昌东,19:20,潜江,当天20:20,20:22,武汉,21:54
D5981/D5984,动车组,孝感东,16:10,潜江,当天17:52,17:55,宜昌东,18:56
D5989,动车组,汉口,07:24,潜江,当天08:14,08:16,恩施,11:16
D5990,动车组,恩施,11:36,潜江,当天14:42,14:44,武昌,15:51
D5991/D5994,动车组,恩施,14:44,潜江,当天17:45,17:47,武汉,19:25
D5992/D5993,动车组,阳新,08:20,潜江,当天10:40,10:42,恩施,13:45
D5996/D5997,动车组,武汉,08:22,潜江,当天09:42,09:46,利川,13:29
D635/D638,动车组,成都东,07:12,潜江,当天15:15,15:17,上海虹桥,22:38
D656/D657,动车组,宁波,06:30,潜江,当天15:02,15:04,重庆北,20:40
G1031/G1034,高速动车,宜昌东,08:40,潜江,当天09:48,09:50,深圳北,16:43
G1315/G1318,高速动车,成都东,07:54,潜江,当天15:38,15:40,广州南,21:43
G1316/G1317,高速动车,广州南,06:53,潜江,当天12:29,12:31,成都东,20:48
G556,高速动车,宜昌东,08:20,潜江,当天09:26,09:28,北京西,16:46
