车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3943,动车组,衡阳东,07:05,全州南,当天08:57,09:00,昆明南,18:00
D8495,动车组,东安东,16:18,全州南,当天16:41,16:43,南宁,20:36
D8496,动车组,南宁,09:40,全州南,当天13:38,13:40,东安东,14:03
G1501,高速动车,上海虹桥,10:03,全州南,当天18:03,18:05,南宁东,21:42
G1503,高速动车,南京南,08:32,全州南,当天17:15,17:17,南宁东,20:55
G2342/G2343,高速动车,宁波,09:08,全州南,当天18:19,18:21,南宁东,21:47
G421,高速动车,北京西,09:05,全州南,当天18:47,18:49,南宁东,22:28
G423,高速动车,石家庄,08:00,全州南,当天16:22,16:24,南宁东,19:57
G425,高速动车,郑州东,07:48,全州南,当天14:17,14:19,桂林,15:09
G435,高速动车,武汉,13:13,全州南,当天17:36,17:38,桂林北,18:27
G436,高速动车,桂林北,08:00,全州南,当天08:48,08:50,武汉,12:51
G535,高速动车,长沙南,07:11,全州南,当天09:39,09:41,桂林,10:31
K1192,快速,南宁,15:08,全州南,当天22:47,22:54,南京,18:29
K150,快速,湛江,22:45,全州南,第2日09:46,09:50,上海南,06:12
K157,快速,北京西,18:12,全州南,第2日20:14,20:17,湛江,06:50
K158,快速,湛江,19:30,全州南,第2日05:36,05:39,北京西,05:52
K161,快速,徐州,19:33,全州南,第2日19:35,19:38,南宁,05:20
K1628,快速,南宁,14:50,全州南,当天21:54,22:02,郑州,15:39
K21,快速,北京西,08:06,全州南,第2日11:30,11:33,南宁,19:35
K2385/K2388,快速,长春,11:45,全州南,第3日08:35,08:39,南宁,16:55
K4235,快速,杭州,14:50,全州南,第2日13:03,13:07,南宁,22:38
K582/K583,快速,南宁,21:55,全州南,第2日07:33,07:36,宁波,06:17
K949/K952,快速,深圳,16:30,全州南,第2日04:18,04:31,桂林北,06:07
K950/K951,快速,桂林北,20:55,全州南,当天22:21,22:31,深圳,10:00
T25,空调特快,上海南,17:49,全州南,第2日12:05,12:08,南宁,18:03
T26,空调特快,南宁,14:55,全州南,当天20:45,20:49,上海南,15:07
T382,空调特快,昆明,21:15,全州南,第2日16:59,17:05,上海南,11:34
T78,空调特快,桂林北,16:44,全州南,当天17:56,17:59,上海南,10:18
