车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D257/D260,动车组,济南西,07:36,曲阜东,当天08:22,08:24,郑州,12:48
D258/D259,动车组,郑州,17:20,曲阜东,当天22:16,22:18,济南西,23:00
D6056/D6057,动车组,烟台,17:45,曲阜东,当天22:33,22:33,曲阜东,22:33
D6080/D6082,动车组,枣庄,07:45,曲阜东,当天08:18,08:20,荣成,13:39
D6083,动车组,枣庄,07:45,曲阜东,当天08:18,08:20,荣成,13:39
D6085/D6088,动车组,荣成,15:30,曲阜东,当天21:17,21:22,枣庄,21:56
D6086/D6087,动车组,枣庄,07:05,曲阜东,当天07:34,07:36,荣成,12:55
D9435/D9438,动车组,青岛,18:46,曲阜东,当天22:20,22:22,滕州东,22:38
D9436/D9437,动车组,滕州东,07:08,曲阜东,当天07:24,07:26,青岛北,10:45
G109,高速动车,北京南,08:15,曲阜东,当天10:40,10:42,上海虹桥,14:07
G11,高速动车,北京南,08:00,曲阜东,当天10:06,10:08,上海虹桥,13:10
G110,高速动车,上海虹桥,07:28,曲阜东,当天11:14,11:19,北京南,13:26
G111,高速动车,北京南,08:35,曲阜东,当天10:49,11:01,上海虹桥,14:26
G116,高速动车,上海虹桥,09:34,曲阜东,当天13:07,13:09,北京南,15:23
G118,高速动车,上海虹桥,09:54,曲阜东,当天13:25,13:27,北京南,15:49
G119,高速动车,北京南,10:05,曲阜东,当天12:18,12:20,上海虹桥,15:47
G1212/G1213,高速动车,长春,08:57,曲阜东,当天16:37,16:40,上海虹桥,20:20
G122,高速动车,上海虹桥,10:46,曲阜东,当天14:11,14:13,北京南,16:33
G1230/G1231,高速动车,丹东,11:11,曲阜东,当天19:01,19:04,上海虹桥,22:30
G1252/G1253,高速动车,上海虹桥,11:20,曲阜东,当天14:59,15:01,大连北,22:01
G1255/G1258,高速动车,上海虹桥,09:13,曲阜东,当天12:44,12:46,长春,20:16
G1256/G1257,高速动车,长春,11:43,曲阜东,当天19:25,19:27,上海虹桥,22:54
G128,高速动车,上海虹桥,11:15,曲阜东,当天14:40,14:42,北京南,17:13
G131,高速动车,北京南,12:25,曲阜东,当天14:40,14:42,上海虹桥,18:14
G132,高速动车,上海虹桥,12:12,曲阜东,当天15:45,15:49,北京南,18:08
G133,高速动车,北京南,12:40,曲阜东,当天15:02,15:04,上海虹桥,18:35
G138,高速动车,上海虹桥,13:30,曲阜东,当天16:45,16:54,北京南,19:24
G140,高速动车,上海虹桥,13:37,曲阜东,当天17:07,17:10,北京南,19:31
G143,高速动车,北京南,14:31,曲阜东,当天16:44,16:46,上海虹桥,20:25
G146,高速动车,上海虹桥,15:05,曲阜东,当天18:30,18:32,北京南,20:51
G147,高速动车,北京南,15:46,曲阜东,当天18:17,18:19,上海虹桥,21:50
G148,高速动车,上海虹桥,15:31,曲阜东,当天18:58,19:00,北京南,21:12
G151,高速动车,北京南,16:35,曲阜东,当天18:56,18:58,上海虹桥,22:35
G152,高速动车,上海虹桥,16:19,曲阜东,当天19:30,19:33,北京南,21:52
G1567,高速动车,北京南,19:05,曲阜东,当天21:25,21:27,商丘,23:27
G157,高速动车,北京南,17:43,曲阜东,当天20:02,20:04,上海虹桥,23:24
G158,高速动车,上海虹桥,17:34,曲阜东,当天20:59,21:01,北京南,23:20
G166,高速动车,杭州东,15:23,曲阜东,当天18:52,18:54,北京南,21:34
G1846,高速动车,荣成,10:00,曲阜东,当天15:06,15:17,西安北,21:03
G1852/G1853,高速动车,郑州东,08:37,曲阜东,当天11:49,11:58,青岛北,15:17
G202,高速动车,南京南,06:51,曲阜东,当天08:57,08:59,北京南,11:33
G208,高速动车,徐州东,07:11,曲阜东,当天08:01,08:03,北京南,10:29
G211,高速动车,天津西,09:31,曲阜东,当天11:23,11:25,上海虹桥,14:34
G213,高速动车,天津西,10:43,曲阜东,当天12:41,12:43,上海虹桥,16:16
G216,高速动车,上海虹桥,16:38,曲阜东,当天20:05,20:07,天津西,21:58
G226/G227,高速动车,上海虹桥,14:05,曲阜东,当天17:36,17:38,青岛,21:12
G24,高速动车,上海虹桥,17:00,曲阜东,当天20:12,20:16,北京南,22:24
G245/G248,高速动车,青岛,13:23,曲阜东,当天16:49,16:51,合肥南,19:26
G262,高速动车,合肥南,07:06,曲阜东,当天09:27,09:30,北京南,11:47
G264,高速动车,合肥南,08:14,曲阜东,当天10:32,10:34,北京南,12:47
G265,高速动车,北京南,07:48,曲阜东,当天10:10,10:12,黄山北,14:13
G267,高速动车,北京南,17:38,曲阜东,当天19:53,19:56,合肥南,22:16
G268,高速动车,合肥南,13:02,曲阜东,当天15:41,15:43,北京南,18:14
G271,高速动车,北京南,18:55,曲阜东,当天21:11,21:13,合肥南,23:26
G272,高速动车,合肥南,18:17,曲阜东,当天20:19,20:23,北京南,22:36
G280,高速动车,深圳北,07:43,曲阜东,当天17:30,17:32,济南西,18:04
G297,高速动车,济南西,07:19,曲阜东,当天07:50,07:52,上海虹桥,11:36
G299,高速动车,济南西,19:42,曲阜东,当天20:21,20:23,上海虹桥,23:41
G300,高速动车,上海虹桥,06:08,曲阜东,当天09:38,09:40,济南西,10:12
G301,高速动车,北京南,10:40,曲阜东,当天13:00,13:05,福州,19:50
G303,高速动车,北京南,12:30,曲阜东,当天14:57,14:59,福州,21:43
G321,高速动车,北京南,08:40,曲阜东,当天11:14,11:19,厦门北,20:07
G338/G484,高速动车,滕州东,07:25,曲阜东,当天07:41,07:43,北京南,10:18
G348,高速动车,福州,14:52,曲阜东,当天21:46,21:54,济南西,22:32
G35,高速动车,北京南,15:10,曲阜东,当天17:30,17:33,杭州东,20:52
G355,高速动车,北京南,08:40,曲阜东,当天11:14,11:19,厦门北,20:07
G356,高速动车,厦门北,10:59,曲阜东,当天19:45,19:52,北京南,22:19
G41,高速动车,北京南,09:16,曲阜东,当天11:34,11:36,杭州东,15:44
G4109/G4112,高速动车,荣成,12:10,曲阜东,当天17:57,17:59,武汉,22:41
G411,高速动车,北京南,11:20,曲阜东,当天13:47,13:49,上海虹桥,17:08
G4125/G4128,高速动车,山海关,07:58,曲阜东,当天11:38,11:40,上海虹桥,14:50
G4261,高速动车,济南,13:56,曲阜东,当天14:34,14:36,上海虹桥,18:01
G4262,高速动车,上海虹桥,19:10,曲阜东,当天23:08,23:09,济南西,23:40
G4266/G4267,高速动车,枣庄,08:18,曲阜东,当天08:41,08:52,沈阳,15:25
G4288,高速动车,枣庄,07:48,曲阜东,当天08:11,08:14,北京南,10:50
G43,高速动车,北京南,14:05,曲阜东,当天16:18,16:20,杭州东,20:40
G451/G454,高速动车,青岛,18:45,曲阜东,当天22:20,22:22,徐州东,23:06
G452/G453,高速动车,徐州东,06:40,曲阜东,当天07:23,07:25,青岛北,10:44
G4907,高速动车,北京南,06:15,曲阜东,当天08:28,08:30,安庆,12:46
G4908,高速动车,安庆,16:47,曲阜东,当天21:11,21:26,北京南,23:58
G58,高速动车,宁波,07:45,曲阜东,当天12:21,12:23,北京南,14:39
G8955,高速动车,济南西,21:25,曲阜东,当天21:56,22:05,枣庄,22:29
G8956,高速动车,枣庄,06:50,曲阜东,当天07:13,07:16,济南西,07:56
G9216/G9217,高速动车,枣庄,08:39,曲阜东,当天09:09,09:12,青岛,12:26
G927,高速动车,北京南,10:40,曲阜东,当天13:00,13:05,福州,19:58
