车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1373,高速动车,上海虹桥,08:55,曲靖北,当天19:04,19:06,昆明南,19:41
G1377,高速动车,南京南,07:39,曲靖北,当天20:43,20:45,昆明南,21:20
G1421,高速动车,杭州东,07:31,曲靖北,当天17:53,17:55,昆明南,18:30
G1511,高速动车,南昌西,08:25,曲靖北,当天14:59,15:01,昆明南,15:36
G1514,高速动车,昆明南,16:00,曲靖北,当天16:35,16:37,南昌西,22:56
G1525,高速动车,武汉,08:41,曲靖北,当天14:38,14:40,昆明南,15:15
G1526,高速动车,昆明南,15:40,曲靖北,当天16:15,16:17,武汉,22:10
G1537,高速动车,郑州东,10:38,曲靖北,当天20:19,20:21,昆明南,20:56
G2111,高速动车,长沙南,07:23,曲靖北,当天12:52,12:54,昆明南,13:29
G2113,高速动车,长沙南,07:50,曲靖北,当天13:33,13:35,昆明南,14:10
G2114,高速动车,昆明南,09:25,曲靖北,当天10:00,10:02,长沙南,15:30
G2115,高速动车,长沙南,08:23,曲靖北,当天14:02,14:04,昆明南,14:39
G2116,高速动车,昆明南,10:30,曲靖北,当天11:05,11:07,长沙南,16:38
G2117,高速动车,长沙南,08:35,曲靖北,当天14:19,14:21,昆明南,14:56
G2118,高速动车,昆明南,13:59,曲靖北,当天14:34,14:36,长沙南,20:23
G2119,高速动车,长沙南,09:13,曲靖北,当天14:51,14:53,昆明南,15:28
G2121,高速动车,长沙南,14:54,曲靖北,当天20:31,20:33,昆明南,21:08
G2122,高速动车,昆明南,15:09,曲靖北,当天15:44,15:46,长沙南,21:29
G2124,高速动车,昆明南,15:53,曲靖北,当天16:28,16:30,长沙南,22:09
G2921/G2924,高速动车,昆明南,07:53,曲靖北,当天08:28,08:36,深圳北,15:02
G2922/G2923,高速动车,深圳北,15:25,曲靖北,当天22:09,22:11,昆明南,22:46
G2941/G2944,高速动车,昆明南,07:10,曲靖北,当天07:45,07:47,桂林北,12:05
G2942/G2943,高速动车,桂林北,08:00,曲靖北,当天12:18,12:20,昆明南,12:55
