车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2149/2152,普快,日照,19:20,日照,当天19:20,19:20,郑州,05:50
2150/2151,普快,郑州,21:00,日照,第2日07:35,07:35,日照,07:35
5007,普快,枣庄西,12:33,日照,当天16:07,16:07,日照,16:07
5008,普快,日照,16:38,日照,当天16:38,16:38,枣庄西,20:02
K171/K174,快速,日照,17:50,日照,当天17:50,17:50,上海,11:31
K172/K173,快速,上海,13:09,日照,第2日06:07,06:07,日照,06:07
K1901/K1904,快速,北京,23:26,日照,第2日12:42,12:42,日照,12:42
K4051,快速,北京,22:32,日照,第2日11:20,11:20,日照,11:20
K4052,快速,日照,12:30,日照,当天12:30,12:30,北京,04:05
K4115/K4118,快速,日照,11:15,日照,当天11:15,11:15,西安,07:51
K4116/K4117,快速,西安,14:52,日照,第2日09:58,09:58,日照,09:58
K4603,快速,北京西,22:41,日照,第2日11:35,11:35,日照,11:35
K52,快速,日照,17:05,日照,当天17:05,17:05,北京,05:20
K631/K634,快速,日照,07:22,日照,当天07:22,07:22,信阳,22:21
K632/K633,快速,信阳,07:20,日照,当天21:35,21:35,日照,21:35
K8281,快速,济南,08:05,日照,当天13:11,13:11,日照,13:11
K8282,快速,日照,13:56,日照,当天13:56,13:56,济南,18:55
K8285,快速,济南,09:10,日照,当天14:56,14:56,日照,14:56
K8286,快速,日照,09:03,日照,当天09:03,09:03,济南,14:36
K8287,快速,济南,16:28,日照,当天21:55,21:55,日照,21:55
K8288,快速,日照,05:00,日照,当天05:00,05:00,济南,10:39
