车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3109,动车组,温州南,07:18,瑞安,当天07:29,07:31,福州,09:38
D3170,动车组,福州南,06:42,瑞安,当天08:30,08:32,杭州东,11:42
D3210,动车组,厦门北,10:40,瑞安,当天13:57,13:59,上海虹桥,18:38
D3214,动车组,厦门北,10:14,瑞安,当天13:38,13:40,南京南,18:55
D4651/D4654,动车组,宁波,15:05,瑞安,当天17:03,17:05,武夷山东,20:35
D5582,动车组,苍南,10:54,瑞安,当天11:14,11:16,上海虹桥,15:44
G7335,高速动车,上海虹桥,12:30,瑞安,当天16:13,16:15,苍南,16:32
G7336,高速动车,苍南,13:58,瑞安,当天14:19,14:21,上海虹桥,17:52
G7337,高速动车,上海虹桥,15:32,瑞安,当天19:25,19:32,苍南,19:50
G7341,高速动车,杭州东,06:15,瑞安,当天08:43,08:46,苍南,09:09
G7344,高速动车,苍南,06:56,瑞安,当天07:16,07:18,上海虹桥,11:11
G7538,高速动车,苍南,16:44,瑞安,当天17:05,17:07,杭州东,20:23
G7621/G7624,高速动车,苍南,09:53,瑞安,当天10:14,10:16,杭州东,12:49
G7622/G7623,高速动车,杭州东,17:36,瑞安,当天20:36,20:38,苍南,21:04
G7635,高速动车,南京南,09:01,瑞安,当天13:17,13:19,苍南,13:42
G7648/G7649,高速动车,合肥,07:50,瑞安,当天14:03,14:12,苍南,14:36
G7670/G7671,高速动车,苍南,07:38,瑞安,当天07:59,08:01,淮南东,14:36
G9307,高速动车,杭州东,09:38,瑞安,当天12:27,12:29,苍南,12:46
G9308,高速动车,苍南,13:07,瑞安,当天13:34,13:36,杭州东,16:23
G9344,高速动车,苍南,06:56,瑞安,当天07:16,07:18,上海虹桥,11:11
G9513,高速动车,上海虹桥,12:45,瑞安,当天17:44,17:52,苍南,18:09
G9514,高速动车,苍南,19:03,瑞安,当天19:24,19:26,上海虹桥,23:32
