车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2375/D2378,动车组,重庆北,06:00,瑞昌,当天14:37,14:39,厦门,21:00
D295/D298,动车组,郑州,08:24,瑞昌,当天13:59,14:01,福州,18:47
D3222,动车组,南昌西,08:02,瑞昌,当天09:01,09:02,武汉,10:40
D3223,动车组,武汉,11:10,瑞昌,当天13:06,13:08,南昌,14:09
D3262/D3263,动车组,汉口,08:10,瑞昌,当天10:29,10:31,福州,15:06
D3276/D3277,动车组,汉口,08:30,瑞昌,当天10:54,10:56,厦门北,16:28
D331/D334,动车组,武汉,08:12,瑞昌,当天10:15,10:18,温州南,15:53
D332/D333,动车组,温州南,13:12,瑞昌,当天18:30,18:32,武汉,20:30
K12/K13,快速,武昌,16:20,瑞昌,当天19:55,19:58,上海南,07:46
K1276/K1277,快速,南昌,09:52,瑞昌,当天11:34,11:39,包头,20:30
K1316/K1317,快速,福州,11:50,瑞昌,当天21:09,21:13,呼和浩特东,08:30
K422/K423,快速,宁波,07:39,瑞昌,当天19:32,19:36,成都,16:14
K4315,快速,呼和浩特东,19:59,瑞昌,第3日06:22,06:25,福州,16:18
K797/K800,快速,汕头,16:55,瑞昌,第2日07:58,08:21,武昌,11:21
T167,空调特快,北京西,14:16,瑞昌,第2日05:44,05:47,南昌,07:03
T168,空调特快,南昌,19:20,瑞昌,当天20:50,20:54,北京西,13:05
T3167,空调特快,北京西,23:40,瑞昌,第2日15:44,15:47,南昌,17:03
