车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,萨拉齐,第2日11:04,11:07,包头,12:00
2462/2463,普快,包头,16:14,萨拉齐,当天17:01,17:19,临汾,08:40
2635,普快,呼和浩特,16:03,萨拉齐,当天17:21,17:23,兰州西,09:32
2701,普快,呼和浩特,20:56,萨拉齐,当天21:54,21:56,银川,05:15
2702,普快,银川,06:45,萨拉齐,当天14:23,14:25,呼和浩特,15:29
D6753,动车组,呼和浩特东,08:20,萨拉齐,当天09:15,09:17,包头,09:48
D6756,动车组,包头,11:40,萨拉齐,当天12:11,12:13,呼和浩特,12:50
D6760,动车组,包头,14:45,萨拉齐,当天15:16,15:18,呼和浩特,15:57
D6773,动车组,集宁南,15:15,萨拉齐,当天17:04,17:06,鄂尔多斯,18:53
K1276/K1277,快速,南昌,09:52,萨拉齐,第2日19:36,19:38,包头,20:30
K1382/K1383,快速,包头,12:02,萨拉齐,当天12:49,13:09,哈尔滨西,15:22
K195,快速,呼和浩特东,08:50,萨拉齐,当天10:10,10:12,成都东,12:11
K263,快速,北京,20:13,萨拉齐,第2日06:39,06:41,包头,07:32
K264,快速,包头,20:57,萨拉齐,当天21:45,21:50,北京,07:10
K4041,快速,北京,09:00,萨拉齐,当天21:30,21:46,敦煌,21:20
K4263,快速,北京,10:40,萨拉齐,当天19:37,19:39,包头,20:30
K7906,快速,乌海西,23:39,萨拉齐,第2日05:18,05:20,呼和浩特,06:24
K7909,快速,呼和浩特,07:56,萨拉齐,当天09:25,09:27,临河,12:56
K7910,快速,临河,14:37,萨拉齐,当天17:56,17:58,呼和浩特,19:09
K7911,快速,呼和浩特,18:49,萨拉齐,当天19:47,19:49,额济纳,10:46
K7912,快速,额济纳,19:00,萨拉齐,第2日09:49,09:51,呼和浩特,10:56
K7913,快速,兴和西,15:46,萨拉齐,当天20:02,20:05,包头,20:58
K7914,快速,包头,08:48,萨拉齐,当天09:35,09:37,兴和西,14:10
K895/K898,快速,通辽,12:07,萨拉齐,第2日07:03,07:14,包头,08:07
K896/K897,快速,包头,15:10,萨拉齐,当天15:57,16:11,通辽,10:39
