车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D1003,动车组,郑州,14:47,三门峡南,当天16:25,16:37,西安北,18:01
D1004,动车组,西安北,18:26,三门峡南,当天19:51,19:59,郑州,21:41
D305/D308,动车组,西安北,19:44,三门峡南,当天21:00,21:02,上海,06:26
D306/D307,动车组,上海,22:55,三门峡南,第2日08:43,08:45,西安北,10:06
D4501/D4504,动车组,西安北,15:42,三门峡南,当天17:22,17:32,上海,00:17
D4502/D4503,动车组,上海,00:37,三门峡南,当天07:05,07:07,西安北,08:21
D9265,动车组,郑州东,07:30,三门峡南,当天08:58,08:58,三门峡南,08:58
D9266,动车组,三门峡南,09:13,三门峡南,当天09:13,09:13,郑州,10:42
D9269,动车组,郑州东,14:52,三门峡南,当天16:15,16:17,灵宝西,16:32
D9270,动车组,灵宝西,17:08,三门峡南,当天17:23,17:32,商丘,20:05
G1281/G1284,高速动车,沈阳北,07:20,三门峡南,当天16:28,16:30,西安北,17:55
G1282/G1283,高速动车,西安北,13:07,三门峡南,当天14:07,14:15,沈阳北,23:13
G1293/G1296,高速动车,大连北,10:10,三门峡南,当天20:04,20:06,西安北,21:15
G1710,高速动车,西安北,16:19,三门峡南,当天17:41,17:43,天津西,22:43
G1711,高速动车,天津西,16:05,三门峡南,当天21:21,21:23,西安北,22:16
G1832,高速动车,西安北,17:10,三门峡南,当天18:03,18:05,济南西,23:01
G1846,高速动车,荣成,10:00,三门峡南,当天19:52,19:54,西安北,21:03
G1874/G1875,高速动车,杭州东,07:15,三门峡南,当天13:27,13:34,兰州西,18:14
G1878/G1879,高速动车,合肥南,06:55,三门峡南,当天11:52,11:54,西安北,12:56
G1885/G1888,高速动车,西安北,14:27,三门峡南,当天15:27,15:29,南京南,20:26
G1894,高速动车,温州南,08:28,三门峡南,当天17:19,17:21,西安北,18:39
G1911/G1914,高速动车,西安北,06:23,三门峡南,当天07:32,07:34,上海虹桥,13:20
G1912/G1913,高速动车,上海虹桥,06:17,三门峡南,当天12:20,12:22,兰州西,16:55
