车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
5809,普快,喀什,09:28,莎车,当天11:48,11:54,和田,15:38
5810,普快,和田,11:06,莎车,当天14:35,14:37,喀什,16:43
5818/5819,普快,乌鲁木齐,11:27,莎车,第2日10:08,10:10,和田,13:32
7559,普慢,喀什,10:27,莎车,当天13:03,13:05,和田,16:55
7560,普慢,和田,11:47,莎车,当天15:39,15:41,喀什,18:19
7561/7564,普慢,和田,16:13,莎车,当天19:44,19:50,乌鲁木齐南,16:38
7562/7563,普慢,乌鲁木齐南,12:14,莎车,第2日09:48,09:54,和田,13:26
7565,普慢,喀什,08:30,莎车,当天10:44,10:47,和田,13:56
7566,普慢,和田,18:41,莎车,当天21:52,21:57,喀什,00:17
K6704,快速,和田,13:51,莎车,当天17:54,17:58,乌鲁木齐南,19:16
K6710,快速,莎车,19:53,莎车,当天19:53,19:53,沙湾县,23:15
T9592/T9593,空调特快,乌鲁木齐南,13:43,莎车,第2日09:44,09:46,和田,13:05
T9594,空调特快,和田,14:22,莎车,当天17:52,17:57,乌鲁木齐南,13:12
