车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6419,普慢,通州西,08:05,上板城,当天14:27,14:28,承德,14:52
6420,普慢,承德,10:43,上板城,当天11:07,11:08,通州西,18:03
6433,普慢,兴隆县,07:08,上板城,当天09:34,09:35,承德,10:00
6434,普慢,承德,17:44,上板城,当天18:09,18:16,兴隆县,21:33
6435,普慢,承德,08:12,上板城,当天08:38,08:40,平泉,10:33
6436,普慢,平泉,17:47,上板城,当天19:52,19:59,承德,20:34
6455,普快,承德,14:54,上板城,当天15:19,15:20,平泉,17:06
6456,普快,平泉,11:06,上板城,当天13:05,13:07,承德,13:38
K7742/K7743,快速,石家庄,20:06,上板城,第2日05:57,06:08,承德,06:30
K7752/K7753,快速,石家庄,20:05,上板城,第2日05:53,06:15,承德,06:50
K7756/K7757,快速,石家庄,19:21,上板城,第2日04:41,05:17,承德,05:38
