车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3555/3558,普快,信阳,13:00,商城,当天15:47,15:56,上海,04:49
3556/3557,普快,上海,05:49,商城,当天17:34,17:39,信阳,20:09
3801/3804,普快,安康,23:58,商城,第2日13:23,13:28,上海,02:08
8323,普快,固始,13:53,商城,当天14:15,14:17,信阳,17:04
8324,普快,信阳,08:00,商城,当天10:47,10:49,固始,11:11
K1039/K1042,快速,兰州,22:02,商城,第2日19:43,19:47,宁波,08:09
K1105/K1108,快速,南阳,21:30,商城,第2日02:36,02:46,上海,13:05
K1106/K1107,快速,上海,15:04,商城,第2日00:31,00:34,南阳,05:25
K1121/K1124,快速,宝鸡,07:05,商城,当天20:15,20:18,绍兴,07:06
K1122/K1123,快速,绍兴,09:16,商城,当天19:43,19:46,宝鸡,10:19
K1155/K1158,快速,成都,11:07,商城,第2日06:01,06:08,上海,16:24
K1156/K1157,快速,上海,11:16,商城,当天21:32,21:35,成都,15:45
K1324,快速,苏州,17:15,商城,第2日06:14,06:17,榆林,05:15
K305/K308,快速,温州,18:50,商城,第2日11:22,11:24,兰州,08:08
K306/K307,快速,兰州,20:33,商城,第2日19:15,19:19,温州,13:40
K382/K383,快速,宜昌东,13:55,商城,当天23:29,23:35,南通,07:36
K425/K428,快速,洛阳,16:38,商城,第2日02:22,02:26,宁波,15:18
K426/K427,快速,宁波,18:03,商城,第2日05:57,06:01,洛阳,17:24
K466/K467,快速,宁波,13:31,商城,第2日01:17,01:22,西安,13:16
K655/K658,快速,呼和浩特东,16:34,商城,第2日19:31,19:35,杭州,06:06
K656/K657,快速,杭州,21:35,商城,第2日06:28,06:30,呼和浩特东,12:12
K705/K708,快速,安庆,17:05,商城,当天23:23,23:29,西安,12:26
T236/T237,空调特快,南通,18:02,商城,第2日02:08,02:15,重庆北,20:50
T389,空调特快,合肥,17:00,商城,当天19:23,19:26,西宁,18:56
T390,空调特快,西宁,08:20,商城,第2日07:36,07:39,合肥,10:00
