车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G7033,高速动车,常州,07:00,上海西,当天08:14,08:16,上海,08:22
G7035,高速动车,南京,06:31,上海西,当天08:27,08:29,上海,08:35
G7050,高速动车,上海,14:30,上海西,当天14:36,14:38,南京,16:30
G7053,高速动车,南京,13:10,上海西,当天15:07,15:09,上海,15:15
G7059,高速动车,南京,15:05,上海西,当天16:52,16:53,上海,16:59
G7067,高速动车,南京,19:41,上海西,当天21:40,21:41,上海,21:47
G7075/G7078,高速动车,安庆,09:11,上海西,当天13:11,13:13,上海,13:21
G7083/G7086,高速动车,安庆,15:21,上海西,当天19:32,19:37,上海,19:44
G7202,高速动车,上海,09:17,上海西,当天09:23,09:24,无锡,10:10
G7207/G7215,高速动车,苏州,18:26,上海西,当天18:58,19:00,上海,19:07
G7235/G7238,高速动车,合肥南,14:00,上海西,当天17:04,17:05,上海,17:11
G7248/G7249,高速动车,上海,13:14,上海西,当天13:20,13:21,合肥南,16:19
G7256/G7257,高速动车,上海,17:34,上海西,当天17:41,17:43,合肥南,20:42
G7260/G7261,高速动车,上海,19:12,上海西,当天19:18,19:19,合肥南,22:17
G7352,高速动车,杭州,20:00,上海西,当天21:22,21:23,上海,21:31
