车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7007,普慢,商南,08:26,商南,当天08:26,08:26,西安,14:00
7008,普慢,西安,13:42,商南,当天19:50,19:50,商南,19:50
8367,普快,商南,08:26,商南,当天08:26,08:26,西安,14:00
8368,普快,西安,13:42,商南,当天19:50,19:50,商南,19:50
K1039/K1042,快速,兰州,22:02,商南,第2日12:02,12:07,宁波,08:09
K1309/K1312,快速,东莞东,18:10,商南,第2日18:42,18:45,西宁,12:23
K1310/K1311,快速,西宁,20:00,商南,第2日12:55,12:58,东莞东,13:17
K1322/K1323,快速,榆林,09:20,商南,当天21:00,21:06,苏州,15:47
K1324,快速,苏州,17:15,商南,第2日15:54,15:56,榆林,05:15
K305/K308,快速,温州,18:50,商南,第2日19:05,19:09,兰州,08:08
K306/K307,快速,兰州,20:33,商南,第2日10:42,10:46,温州,13:40
K315/K318,快速,西安,19:07,商南,当天23:03,23:07,南宁,05:50
K393/K396,快速,西安,23:58,商南,第2日03:59,04:03,福州,07:10
K394/K395,快速,福州,08:18,商南,第2日10:40,10:43,西安,15:05
K465/K468,快速,西安,14:46,商南,当天18:47,18:49,宁波,14:41
K466/K467,快速,宁波,13:31,商南,第2日09:07,09:12,西安,13:16
K655/K658,快速,呼和浩特东,16:34,商南,第2日11:17,11:20,杭州,06:06
K656/K657,快速,杭州,21:35,商南,第2日16:45,16:51,呼和浩特东,12:12
K706/K707,快速,西安,13:52,商南,当天17:44,17:48,安庆,08:24
K790/K791,快速,南昌,21:38,商南,第2日09:51,09:56,西安,14:08
