车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7811,动车组,长沙南,06:40,韶山南,当天07:12,07:14,怀化南,08:47
G1321,高速动车,上海虹桥,06:25,韶山南,当天12:23,12:25,贵阳北,15:38
G1324,高速动车,贵阳北,10:06,韶山南,当天13:13,13:15,上海虹桥,19:23
G1369,高速动车,上海虹桥,12:40,韶山南,当天18:50,18:52,怀化南,20:10
G1377,高速动车,南京南,07:39,韶山南,当天15:25,15:27,昆明南,21:20
G1481,高速动车,南京南,11:28,韶山南,当天18:18,18:20,贵阳北,21:28
G1511,高速动车,南昌西,08:25,韶山南,当天10:35,10:37,昆明南,15:36
G1521,高速动车,武汉,08:01,韶山南,当天09:53,09:55,贵阳北,13:28
G1524,高速动车,贵阳北,14:23,韶山南,当天17:32,17:34,武汉,19:33
G1534,高速动车,贵阳北,15:35,韶山南,当天18:41,18:43,郑州东,22:57
G1537,高速动车,郑州东,10:38,韶山南,当天15:04,15:10,昆明南,20:56
G1686/G1687,高速动车,贵阳北,09:34,韶山南,当天12:47,12:49,厦门北,20:28
G2101,高速动车,长沙南,07:50,韶山南,当天08:15,08:17,贵阳北,11:29
G2102,高速动车,贵阳北,07:42,韶山南,当天10:49,10:51,长沙南,11:12
G2112,高速动车,昆明南,07:47,韶山南,当天13:28,13:30,长沙南,14:01
G2113,高速动车,长沙南,07:50,韶山南,当天08:13,08:15,昆明南,14:10
G2116,高速动车,昆明南,10:30,韶山南,当天16:15,16:17,长沙南,16:38
G2118,高速动车,昆明南,13:59,韶山南,当天19:59,20:01,长沙南,20:23
G2121,高速动车,长沙南,14:54,韶山南,当天15:17,15:19,昆明南,21:08
G2306/G2307,高速动车,温州南,08:10,韶山南,当天13:54,13:56,贵阳北,17:15
G2336,高速动车,贵阳北,10:42,韶山南,当天13:49,13:55,南京南,20:57
G2362/G2363,高速动车,宁波,10:47,韶山南,当天17:30,17:32,贵阳北,20:46
G2366,高速动车,邵阳,15:25,韶山南,当天16:45,16:47,上海虹桥,22:52
G4122,高速动车,昆明南,08:51,韶山南,当天14:21,14:23,长沙南,14:45
G4124,高速动车,昆明南,15:03,韶山南,当天20:52,20:54,长沙南,21:23
G4741,高速动车,上海虹桥,06:15,韶山南,当天12:52,12:54,怀化南,14:30
G4744,高速动车,怀化南,15:25,韶山南,当天16:59,17:06,杭州东,22:51
G4831,高速动车,杭州东,06:01,韶山南,当天11:12,11:14,贵阳北,14:37
G4837,高速动车,南京南,05:59,韶山南,当天12:23,12:25,怀化南,13:43
G6146/G6147,高速动车,福田,14:00,韶山南,当天18:28,18:30,怀化南,19:48
G6151/G6154,高速动车,怀化南,10:50,韶山南,当天12:08,12:10,广州南,15:45
G6159/G6162,高速动车,怀化南,10:18,韶山南,当天11:29,11:32,福田,15:54
G6164/G6165,高速动车,福田,07:35,韶山南,当天11:49,11:51,怀化南,13:03
G6405,高速动车,长沙南,08:45,韶山南,当天09:08,09:10,怀化南,10:28
G6413,高速动车,长沙南,14:47,韶山南,当天15:12,15:14,怀化南,16:30
G6415,高速动车,长沙南,16:13,韶山南,当天16:36,16:38,怀化南,17:50
G6451,高速动车,长沙南,07:10,韶山南,当天07:33,07:35,邵阳,08:51
G6456,高速动车,邵阳,17:40,韶山南,当天19:02,19:04,长沙南,19:25
G6459,高速动车,长沙南,17:00,韶山南,当天17:23,17:25,邵阳,18:41
G6486/G6487,高速动车,福田,08:33,韶山南,当天13:00,13:02,邵阳,14:23
G9609,高速动车,长沙南,15:07,韶山南,当天15:37,15:39,怀化南,16:50
G9613,高速动车,长沙南,18:37,韶山南,当天19:03,19:05,怀化南,20:34
G9631,高速动车,长沙南,10:56,韶山南,当天11:19,11:21,邵阳,12:38
G9768/G9769,高速动车,广州南,08:22,韶山南,当天11:51,11:53,怀化南,13:02
G9786/G9787,高速动车,广州南,09:27,韶山南,当天13:02,13:04,邵阳,14:30
