车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7605,动车组,沈阳,07:00,沈阳南,当天07:11,07:13,丹东,08:34
D7607,动车组,沈阳,07:26,沈阳南,当天07:37,07:38,丹东,09:04
D7612,动车组,丹东,10:17,沈阳南,当天11:33,11:35,沈阳,11:46
D7613,动车组,沈阳,09:17,沈阳南,当天09:28,09:30,丹东,10:51
D7614,动车组,丹东,10:46,沈阳南,当天12:08,12:10,沈阳,12:21
D7617,动车组,沈阳,10:55,沈阳南,当天11:06,11:08,丹东,12:29
D7619,动车组,沈阳北,11:28,沈阳南,当天11:49,11:51,丹东,13:06
D7620,动车组,丹东,13:30,沈阳南,当天14:52,14:54,沈阳,15:06
D7626,动车组,丹东,15:32,沈阳南,当天16:54,16:56,沈阳,17:07
D7629,动车组,沈阳,15:32,沈阳南,当天15:43,15:45,丹东,17:06
D7634,动车组,丹东,18:28,沈阳南,当天19:43,19:44,沈阳,19:55
D7652,动车组,丹东,08:48,沈阳南,当天10:09,10:10,沈阳,10:21
D7655,动车组,沈阳,13:23,沈阳南,当天13:34,13:36,丹东,14:51
D7664,动车组,丹东,12:24,沈阳南,当天13:52,13:54,沈阳,14:05
D7672,动车组,本溪,07:30,沈阳南,当天07:55,07:57,沈阳,08:09
D7675/D7678,动车组,延吉西,08:22,沈阳南,当天12:46,12:48,丹东,14:03
D7681,动车组,沈阳南,06:50,沈阳南,当天06:50,06:50,沈阳,07:01
D7682,动车组,沈阳,18:53,沈阳南,当天19:04,19:04,沈阳南,19:04
D7732/D7733,动车组,大连北,14:35,沈阳南,当天18:43,18:45,沈阳,18:57
D7739/D7742,动车组,沈阳,06:54,沈阳南,当天07:05,07:07,大连北,11:18
D7744/D7745,动车组,大连北,15:19,沈阳南,当天19:07,19:09,沈阳,19:21
D7756/D7757,动车组,大连北,11:44,沈阳南,当天16:22,16:24,沈阳,16:36
D8073,动车组,大连,11:26,沈阳南,当天14:32,14:43,抚顺北,15:43
G1230/G1231,高速动车,丹东,11:11,沈阳南,当天12:27,12:29,上海虹桥,22:30
G395,高速动车,北京南,09:05,沈阳南,当天14:12,14:30,丹东,15:45
G396,高速动车,丹东,16:09,沈阳南,当天17:24,17:42,北京南,22:30
G398,高速动车,丹东,07:03,沈阳南,当天08:18,08:20,北京南,13:21
G710,高速动车,哈尔滨西,09:06,沈阳南,当天11:58,12:00,大连北,13:47
G715,高速动车,大连北,12:23,沈阳南,当天14:02,14:04,哈尔滨西,16:41
G722,高速动车,哈尔滨西,15:43,沈阳南,当天18:26,18:28,大连北,20:22
G724,高速动车,哈尔滨西,16:08,沈阳南,当天18:47,18:48,大连北,20:35
G729,高速动车,大连北,18:08,沈阳南,当天20:09,20:11,哈尔滨西,22:39
G781/G784,高速动车,丹东,15:52,沈阳南,当天17:09,17:11,哈尔滨西,19:54
G8017,高速动车,大连,14:42,沈阳南,当天16:43,16:45,吉林,19:18
G8043,高速动车,大连北,06:55,沈阳南,当天08:42,08:44,沈阳北,09:00
G8044,高速动车,沈阳北,07:08,沈阳南,当天07:31,07:33,大连,09:32
G8046,高速动车,沈阳,08:15,沈阳南,当天08:27,08:29,大连,10:17
G8052,高速动车,沈阳,12:28,沈阳南,当天12:40,12:42,大连,14:50
G8057,高速动车,大连,15:40,沈阳南,当天17:33,17:35,沈阳,17:46
G8058,高速动车,沈阳,16:42,沈阳南,当天16:54,16:56,大连北,18:36
G8101/G8104,高速动车,吉林,07:59,沈阳南,当天10:33,10:35,丹东,11:50
G8102/G8103,高速动车,丹东,07:21,沈阳南,当天08:49,08:51,吉林,11:17
G8105/G8108,高速动车,吉林,12:04,沈阳南,当天14:33,14:35,丹东,16:02
G8106/G8107,高速动车,丹东,16:20,沈阳南,当天17:42,17:44,吉林,20:09
G8115,高速动车,大连北,09:05,沈阳南,当天11:04,11:22,丹东,12:49
G8116,高速动车,丹东,13:49,沈阳南,当天15:18,15:40,大连北,17:41
