车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1303,普快,北京西,22:35,深州,第2日01:17,01:33,郑州,09:23
1488,普快,郑州,20:55,深州,第2日06:36,06:38,北京西,10:00
1502/1503,普快,北京,09:15,深州,当天12:19,12:22,连云港东,23:36
3094,普快,武穴,06:12,深州,当天21:23,21:26,北京西,00:15
4498,普快,衡水,14:12,深州,当天14:35,14:53,北京,17:45
K147,快速,北京西,09:43,深州,当天12:34,12:36,阜阳,20:06
K1612/K1613,快速,北京,09:16,深州,当天12:12,12:14,连云港东,23:08
K4053,快速,北京西,23:56,深州,第2日03:32,03:44,阜阳,12:40
K4132,快速,阜阳,14:20,深州,当天21:42,21:45,北京,00:38
K4204,快速,东莞东,12:05,深州,第2日19:15,19:17,北京西,21:55
K4208,快速,蕲春,07:58,深州,当天20:33,20:36,北京西,23:22
K4300,快速,安庆,20:05,深州,第2日12:58,13:10,北京,16:45
K5222,快速,清河城,11:33,深州,当天13:08,13:11,北京,16:45
K5226,快速,清河城,11:43,深州,当天13:18,13:20,北京,16:13
K609,快速,北京,23:53,深州,第2日02:43,02:45,韩城,15:28
K7718/K7719,快速,衡水,07:30,深州,当天08:00,08:02,秦皇岛,17:47
K7771,快速,北京,06:46,深州,当天11:47,11:59,清河城,13:33
K7772,快速,清河城,14:16,深州,当天15:39,15:41,北京,18:53
K7773,快速,北京,09:46,深州,当天12:45,12:47,衡水,13:18
K917/K920,快速,汉口,18:37,深州,第2日11:08,11:33,天津,14:31
T317/T320,空调特快,汉口,19:10,深州,第2日11:08,11:24,天津,14:12
