车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1455/1458,普快,通辽,17:25,四合永,第2日00:22,00:25,呼和浩特,18:29
1801,普快,昌平北,14:10,四合永,当天20:19,20:22,齐齐哈尔,13:34
1802,普快,齐齐哈尔,13:21,四合永,第2日05:14,05:20,昌平北,11:40
1881,普快,北京北,13:47,四合永,当天20:19,20:22,伊春,21:22
1882/1883,普快,伊春,06:10,四合永,第2日05:56,06:03,北京北,12:28
2559,普快,北京,20:42,四合永,第2日04:27,04:29,赤峰,07:07
2560,普快,赤峰,19:22,四合永,当天21:32,21:35,北京,05:00
2621,普快,昌平北,10:00,四合永,当天16:47,16:52,赤峰,19:14
2622,普快,赤峰,20:22,四合永,当天22:59,23:01,昌平北,04:45
6029,普慢,承德,13:27,四合永,当天16:18,16:20,赤峰,20:40
6030,普慢,赤峰,06:20,四合永,当天10:04,10:06,承德,12:57
K274/K275,快速,呼和浩特,21:51,四合永,第2日15:05,15:10,满洲里,14:00
K4125,快速,北京东,03:14,四合永,当天11:24,11:27,赤峰,14:27
K4126,快速,赤峰,13:45,四合永,当天17:15,17:18,北京东,01:20
K4241/K4244,快速,赤峰,12:00,四合永,当天14:32,14:35,呼和浩特东,14:14
K4769,快速,昌平北,21:49,四合永,第2日05:13,05:16,赤峰,07:47
K4770,快速,赤峰,17:34,四合永,当天20:20,20:25,昌平北,05:05
K978/K979,快速,石家庄,17:19,四合永,第2日05:55,05:58,通辽,12:30
