车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4245,普快,通化,06:31,松树镇,当天09:43,09:47,白河,13:16
4246,普快,白河,10:00,松树镇,当天14:00,14:04,通化,17:18
6345,普快,通化,06:39,松树镇,当天09:39,09:44,龙井,16:03
6346,普慢,龙井,12:18,松树镇,当天19:16,19:18,通化,22:22
K5055/K5058,快速,图们,07:31,松树镇,当天18:10,18:15,通化,21:38
K5056/K5057,快速,通化,05:55,松树镇,当天08:42,08:46,图们,18:10
K5062/K5063,快速,靖宇,14:00,松树镇,当天16:53,16:56,通化,19:45
K5090,快速,白河,06:41,松树镇,当天11:07,11:11,通化,14:21
K7387/K7390,快速,靖宇,06:58,松树镇,当天10:06,10:10,吉林,22:52
K7395/K7398,快速,白河,23:10,松树镇,第2日02:12,02:18,沈阳,12:30
K7396/K7397,快速,沈阳,09:11,松树镇,当天19:11,19:15,白河,22:29
