车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D12,动车组,沈阳北,07:09,绥中北,当天09:13,09:14,北京,12:17
D16,动车组,沈阳,14:32,绥中北,当天16:31,16:32,北京,19:37
D20,动车组,长春,11:23,绥中北,当天14:56,14:57,北京,17:53
D40/D41,动车组,北京,09:50,绥中北,当天12:57,12:58,大连北,16:05
D43/D46,动车组,大连北,14:38,绥中北,当天18:07,18:08,北京,21:14
D4510,动车组,吉林,16:52,绥中北,当天21:45,21:47,北京,01:39
D4611,动车组,北京,10:28,绥中北,当天13:31,13:32,哈尔滨西,18:55
D8075,动车组,山海关,07:10,绥中北,当天07:37,07:39,沈阳,09:55
D8076,动车组,沈阳,18:55,绥中北,当天21:15,21:17,山海关,21:48
D9,动车组,北京,13:19,绥中北,当天16:16,16:17,沈阳北,18:13
G1256/G1257,高速动车,长春,11:43,绥中北,当天15:04,15:05,上海虹桥,22:54
G1261/G1264,高速动车,郑州东,08:07,绥中北,当天14:52,14:53,哈尔滨西,19:19
G393,高速动车,北京南,15:05,绥中北,当天17:45,17:46,哈尔滨西,22:20
G395,高速动车,北京南,09:05,绥中北,当天11:51,11:53,丹东,15:45
G4256/G4257,高速动车,烟台,06:42,绥中北,当天15:48,15:57,丹东,19:49
G755,高速动车,山海关,14:36,绥中北,当天15:00,15:02,哈尔滨西,19:44
G8086/G8087,高速动车,山海关,14:56,绥中北,当天15:20,15:21,大连北,18:04
G8096/G8097,高速动车,山海关,06:08,绥中北,当天06:38,06:40,大连北,09:33
G9129,高速动车,山海关,13:58,绥中北,当天14:24,14:26,吉林,19:02
K515/K518,快速,吉林,09:50,绥中北,当天19:02,19:55,上海,17:32
Z102/Z103,直达特快,长春,16:15,绥中北,当天21:27,21:37,厦门,20:02
Z12/Z13,直达特快,沈阳北,07:00,绥中北,当天10:09,10:39,广州东,13:45
Z155/Z158,直达特快,哈尔滨西,10:49,绥中北,当天17:36,17:50,泰州,10:12
Z191/Z194,直达特快,沈阳北,17:50,绥中北,当天20:23,20:47,太原,07:09
