车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2061,普快,大连,13:44,苏家屯,当天19:01,19:03,加格达奇,13:56
2685/2688,普快,满洲里,10:39,苏家屯,第2日09:29,09:31,丹东,13:48
2727,普快,大连,10:05,苏家屯,当天14:55,14:58,绥芬河,06:33
4215,普快,鞍山,07:40,苏家屯,当天08:41,08:45,沈阳,09:05
4223,普快,沈阳,06:22,苏家屯,当天06:38,06:40,丹东,11:28
4224,普快,丹东,13:20,苏家屯,当天18:16,18:18,沈阳,18:42
4229,普快,营口,05:12,苏家屯,当天08:09,08:11,沈阳,08:30
4230,普快,沈阳,17:13,苏家屯,当天17:28,17:30,营口,20:28
4322,普快,本溪,06:10,苏家屯,当天07:23,07:25,沈阳,07:43
K187/K190,快速,沈阳北,12:20,苏家屯,当天12:55,12:57,上海,16:04
K346/K347,快速,沈阳北,19:36,苏家屯,当天20:08,20:11,温州,11:40
K4710,快速,牡丹江,20:20,苏家屯,第2日08:45,08:48,大连,14:13
K5001,快速,大连,06:30,苏家屯,当天12:28,12:30,白城,20:13
K56/K57,快速,包头,18:18,苏家屯,第2日14:03,14:05,大连,19:12
K7361/K7364,快速,赤峰,22:23,苏家屯,第2日09:47,09:49,丹东,14:06
K7369,快速,营口,12:32,苏家屯,当天15:06,15:13,图们,07:40
K7370,快速,图们,17:00,苏家屯,第2日08:25,08:38,营口,11:12
K7381,快速,大连,13:16,苏家屯,当天18:28,18:41,沈阳北,19:20
K7382,快速,沈阳北,06:52,苏家屯,当天07:29,07:31,大连,12:46
K7459/K7462,快速,大连,07:00,苏家屯,当天12:13,12:15,通辽,18:20
K7460/K7461,快速,通辽,08:45,苏家屯,当天14:59,15:01,大连,20:02
K7505,快速,沈阳,15:56,苏家屯,当天16:13,16:16,本溪,17:30
