车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2035/2038,普快,图们,19:56,孙家,第2日08:06,08:21,香坊,08:30
2036/2037,普快,香坊,19:55,孙家,当天20:04,20:06,图们,07:40
6021,普慢,吉林,07:28,孙家,当天13:44,13:47,哈尔滨东,14:00
6022,普慢,哈尔滨东,15:40,孙家,当天15:58,15:59,吉林,21:55
6227,普慢,五常,18:00,孙家,当天20:34,20:36,哈尔滨东,21:00
6228,普慢,哈尔滨东,15:00,孙家,当天15:15,15:18,五常,17:33
6231,普慢,五常,07:56,孙家,当天10:35,10:37,哈尔滨东,10:50
6232,普慢,香坊,08:15,孙家,当天08:24,08:26,五常,10:32
6233,普慢,五常,13:43,孙家,当天15:51,15:53,香坊,16:02
6234,普慢,香坊,17:20,孙家,当天17:32,17:34,五常,19:58
6235,普慢,五常,11:52,孙家,当天14:01,14:03,哈尔滨东,14:17
6236,普慢,哈尔滨东,08:35,孙家,当天08:52,08:54,五常,11:25
6293,普慢,五常,08:30,孙家,当天11:27,11:38,哈尔滨,12:10
K2035/K2038,快速,图们,20:43,孙家,第2日06:42,06:44,香坊,06:53
K2036/K2037,快速,香坊,19:55,孙家,当天20:05,20:07,图们,06:45
K5111,快速,五常,11:52,孙家,当天14:01,14:03,香坊,14:13
K5112,快速,香坊,08:52,孙家,当天09:02,09:05,五常,11:25
K5113,快速,五常,18:00,孙家,当天20:34,20:37,哈尔滨东,21:00
K7211,快速,五常,06:16,孙家,当天07:40,07:46,香坊,07:55
K7217,快速,五常,14:44,孙家,当天16:20,16:23,香坊,16:32
K7218,快速,香坊,16:57,孙家,当天17:06,17:08,五常,18:36
