车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2124/2125,普快,丹东,15:35,塔哈,第2日12:08,12:10,齐齐哈尔,12:36
4016,普快,北安,08:10,塔哈,当天11:57,12:00,齐齐哈尔,12:47
4075,普快,哈尔滨东,09:58,塔哈,当天15:34,15:36,加格达奇,23:51
4076,普快,加格达奇,08:36,塔哈,当天17:08,17:16,哈尔滨东,23:05
4081,普快,齐齐哈尔,16:13,塔哈,当天16:43,16:59,北安,20:18
4082,普快,北安,05:15,塔哈,当天08:12,08:14,齐齐哈尔,08:45
4085,普快,泰来,10:15,塔哈,当天13:05,13:07,富裕,13:35
4086,普快,富裕,14:00,塔哈,当天14:27,14:29,泰来,17:39
K5117,快速,齐齐哈尔,13:51,塔哈,当天14:14,14:17,加格达奇,20:05
K7150,快速,加格达奇,08:12,塔哈,当天15:50,15:52,一面坡,22:59
