车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2001,动车组,北京西,07:46,太谷西,当天11:41,11:43,运城北,13:53
D2004,动车组,运城北,08:06,太谷西,当天10:30,10:32,北京西,15:03
D2005,动车组,北京西,15:29,太谷西,当天19:23,19:25,临汾西,20:53
D2006,动车组,运城北,14:25,太谷西,当天16:33,16:35,北京西,20:39
D2502,动车组,西安北,07:35,太谷西,当天11:01,11:03,太原南,11:30
D2509,动车组,太原南,10:15,太谷西,当天10:35,10:37,西安北,13:49
D2513,动车组,太原南,11:55,太谷西,当天12:15,12:17,西安北,15:22
D2517,动车组,太原南,13:18,太谷西,当天13:38,13:40,西安北,16:58
D2519,动车组,太原南,14:38,太谷西,当天15:05,15:07,西安北,18:12
D2529,动车组,太原南,17:50,太谷西,当天18:10,18:12,西安北,21:24
D2531,动车组,太原南,18:30,太谷西,当天18:50,18:52,西安北,22:17
D2532,动车组,西安北,18:32,太谷西,当天21:43,21:45,太原南,22:06
D2533,动车组,太原南,19:13,太谷西,当天19:40,19:42,西安北,22:40
D2534,动车组,西安北,19:05,太谷西,当天22:23,22:25,太原南,22:46
D2561,动车组,太原南,09:23,太谷西,当天09:43,09:45,宝鸡南,14:05
D2562,动车组,宝鸡南,15:00,太谷西,当天19:45,19:47,太原南,20:09
D2567,动车组,太原南,07:48,太谷西,当天08:09,08:11,兰州西,14:50
D2568,动车组,兰州西,15:00,太谷西,当天21:14,21:16,太原南,21:37
D4021,动车组,太原南,09:04,太谷西,当天09:24,09:26,西安北,12:51
D4023,动车组,太原南,13:34,太谷西,当天13:54,13:56,西安北,17:22
D4024,动车组,西安北,13:25,太谷西,当天16:50,16:52,太原南,17:13
D4028,动车组,西安北,13:25,太谷西,当天16:50,16:52,太原南,17:13
D5304,动车组,运城北,10:14,太谷西,当天12:18,12:20,太原南,12:42
D5307,动车组,太原南,11:05,太谷西,当天11:26,11:28,运城北,13:24
D5308,动车组,运城北,12:43,太谷西,当天14:47,14:49,太原南,15:11
D5309,动车组,太原南,13:03,太谷西,当天13:23,13:25,运城北,15:16
D5310,动车组,运城北,13:58,太谷西,当天15:50,15:52,太原南,16:14
D5311,动车组,太原南,14:09,太谷西,当天14:29,14:31,运城北,16:36
D5313,动车组,太原南,15:35,太谷西,当天15:55,15:57,运城北,17:51
D5314,动车组,运城北,16:57,太谷西,当天19:01,19:03,太原南,19:25
D5315,动车组,太原南,16:35,太谷西,当天17:03,17:05,运城北,19:06
D5319,动车组,太原南,19:53,太谷西,当天20:13,20:15,运城北,22:20
D5334,动车组,介休东,08:09,太谷西,当天08:37,08:39,太原南,09:01
D5341,动车组,太原南,08:35,太谷西,当天08:55,08:57,永济北,11:09
D5357,动车组,太原南,12:29,太谷西,当天12:50,12:52,永济北,15:07
D9004,动车组,运城北,14:25,太谷西,当天16:33,16:35,太原南,16:57
D9217,动车组,太原南,12:30,太谷西,当天12:51,12:52,永济北,15:07
G605,高速动车,北京西,10:28,太谷西,当天14:14,14:16,永济北,16:43
