车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4133,普快,佳木斯,16:10,太平镇,当天16:54,16:56,前进镇,20:42
4138,普快,双鸭山,08:50,太平镇,当天09:40,09:43,佳木斯,10:42
6257,普慢,佳木斯,17:00,太平镇,当天17:45,17:47,双鸭山,18:57
6258,普慢,双鸭山,05:40,太平镇,当天06:39,06:41,佳木斯,07:26
6289,普慢,佳木斯,15:12,太平镇,当天16:17,16:19,双鸭山,17:14
6290,普慢,双鸭山,18:06,太平镇,当天19:05,19:07,佳木斯,20:04
K5132,快速,抚远,08:56,太平镇,当天16:12,16:20,绥化,22:50
K5166,快速,抚远,09:25,太平镇,当天15:53,15:57,佳木斯,17:27
K7113,快速,佳木斯,05:20,太平镇,当天05:58,06:05,同江,09:26
K7114,快速,同江,05:21,太平镇,当天08:39,08:50,佳木斯,09:38
K7115,快速,佳木斯,10:04,太平镇,当天10:52,10:54,同江,13:55
K7187,快速,佳木斯,11:45,太平镇,当天12:19,12:25,双鸭山,13:26
L7001/L7004/L7005,临客,富裕,05:45,太平镇,当天20:24,20:39,抚远,05:33
L7012,临客,抚远,18:50,太平镇,第2日04:40,04:50,绥化,11:25
