车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,太原东,当天23:14,23:16,包头,12:00
2462/2463,普快,包头,16:14,太原东,第2日03:55,03:57,临汾,08:40
2671,普快,大同,16:40,太原东,当天22:27,22:29,西安,08:51
2672,普快,西安,22:53,太原东,第2日09:34,09:37,大同,15:27
4615,普快,宁武,17:38,太原东,当天21:06,21:09,太原,21:15
4616/4617,普快,太原,08:29,太原东,当天08:35,08:38,宁武,12:13
4635,普快,忻州,08:03,太原东,当天09:55,09:58,太原,10:03
4636,普快,太原,16:52,太原东,当天16:57,17:00,忻州,18:47
6801,普慢,太原,06:30,太原东,当天06:36,06:38,镇城底,08:06
6802,普慢,镇城底,09:08,太原东,当天10:36,10:39,太原,10:45
6805,普慢,太原,17:40,太原东,当天17:46,17:48,镇城底,19:30
6806,普慢,镇城底,20:29,太原东,当天21:51,21:54,太原,22:00
6817,普慢,灵丘,08:52,太原东,当天16:09,16:12,太原,16:18
6818,普慢,太原,07:18,太原东,当天07:23,07:26,灵丘,14:26
8811,普快,太原,06:30,太原东,当天06:36,06:38,镇城底,08:06
8812,普快,镇城底,09:08,太原东,当天10:36,10:36,太原东,10:36
8813,普快,太原东,17:39,太原东,当天17:39,17:39,镇城底,19:10
8814,普快,镇城底,20:29,太原东,当天21:51,21:53,太原,21:59
8817,普快,灵丘,08:52,太原东,当天16:09,16:12,太原,16:18
8818,普快,太原,07:08,太原东,当天07:14,07:17,灵丘,14:26
K4097,快速,北京西,01:35,太原东,当天14:43,14:46,临汾,19:43
K730/K731,快速,大同,14:20,太原东,当天20:00,20:02,广州东,05:26
K7803,快速,大同,14:30,太原东,当天18:22,18:24,太原,18:30
K7804,快速,太原,08:55,太原东,当天09:01,09:04,大同,13:16
