车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2211,普快,白城,05:41,汤池,当天08:28,08:35,齐齐哈尔,09:41
2212,普快,齐齐哈尔,18:20,汤池,当天18:58,19:20,白城,22:05
4085,普快,泰来,10:15,汤池,当天11:27,11:29,富裕,13:35
4086,普快,富裕,14:00,汤池,当天15:55,15:59,泰来,17:39
4095,普快,泰来,07:17,汤池,当天08:32,08:34,齐齐哈尔,09:26
4096,普快,齐齐哈尔,15:10,汤池,当天15:55,15:59,泰来,17:40
6264,普慢,富拉尔基,17:50,汤池,当天18:45,18:45,汤池,18:45
6265,普慢,汤池,20:00,汤池,当天20:00,20:00,富拉尔基,20:53
6275,普慢,泰来,10:15,汤池,当天11:27,11:29,齐齐哈尔,12:25
6276,普慢,齐齐哈尔,06:58,汤池,当天08:20,08:22,泰来,09:45
6277,普慢,泰来,15:12,汤池,当天16:28,16:32,齐齐哈尔,17:30
6278,普慢,齐齐哈尔,09:55,汤池,当天10:49,10:51,泰来,12:15
K4690,快速,齐齐哈尔,09:50,汤池,当天10:23,10:27,青岛北,19:55
