车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1039/K1042,快速,兰州,22:02,唐河,第2日15:05,15:13,宁波,08:09
K1040/K1041,快速,宁波,12:54,唐河,第2日04:49,04:57,兰州,21:18
K1105/K1108,快速,南阳,21:30,唐河,当天22:19,22:23,上海,13:05
K1106/K1107,快速,上海,15:04,唐河,第2日04:34,04:37,南阳,05:25
K1121/K1124,快速,宝鸡,07:05,唐河,当天16:17,16:22,绍兴,07:06
K1122/K1123,快速,绍兴,09:16,唐河,第2日00:01,00:09,宝鸡,10:19
K1309/K1312,快速,东莞东,18:10,唐河,第2日15:28,15:32,西宁,12:23
K1310/K1311,快速,西宁,20:00,唐河,第2日16:15,16:21,东莞东,13:17
K1324,快速,苏州,17:15,唐河,第2日12:15,12:27,榆林,05:15
K305/K308,快速,温州,18:50,唐河,第2日15:42,15:46,兰州,08:08
K306/K307,快速,兰州,20:33,唐河,第2日14:21,14:27,温州,13:40
K393/K396,快速,西安,23:58,唐河,第2日07:07,07:10,福州,07:10
K394/K395,快速,福州,08:18,唐河,第2日07:01,07:05,西安,15:05
K425/K428,快速,洛阳,16:38,唐河,当天21:57,22:01,宁波,15:18
K426/K427,快速,宁波,18:03,唐河,第2日11:34,11:40,洛阳,17:24
K445/K448,快速,西安,23:20,唐河,第2日06:08,06:11,深圳,04:37
K465/K468,快速,西安,14:46,唐河,当天21:35,21:39,宁波,14:41
K466/K467,快速,宁波,13:31,唐河,第2日05:45,05:50,西安,13:16
K655/K658,快速,呼和浩特东,16:34,唐河,第2日14:41,14:46,杭州,06:06
K656/K657,快速,杭州,21:35,唐河,第2日12:37,12:44,呼和浩特东,12:12
K705/K708,快速,安庆,17:05,唐河,第2日04:01,04:05,西安,12:26
K706/K707,快速,西安,13:52,唐河,当天21:05,21:10,安庆,08:24
T389,空调特快,合肥,17:00,唐河,当天23:46,23:50,西宁,18:56
