车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D1,动车组,北京,18:08,唐山北,当天19:19,19:20,沈阳,23:21
D101,动车组,北京,13:49,唐山北,当天15:00,15:01,哈尔滨西,21:39
D102,动车组,哈尔滨西,10:37,唐山北,当天17:19,17:20,北京,18:31
D13,动车组,北京,18:51,唐山北,当天20:00,20:01,沈阳,23:59
D16,动车组,沈阳,14:32,唐山北,当天18:24,18:26,北京,19:37
D17,动车组,北京,09:15,唐山北,当天10:24,10:25,沈阳北,14:14
D18,动车组,沈阳北,15:11,唐山北,当天19:00,19:02,北京,20:13
D2,动车组,沈阳,09:19,唐山北,当天12:55,12:57,北京,14:08
D21,动车组,北京,07:08,唐山北,当天08:22,08:23,珲春,17:18
D23,动车组,北京,15:33,唐山北,当天16:42,16:44,长春,22:09
D24,动车组,长春,07:24,唐山北,当天13:01,13:03,北京,14:14
D3,动车组,北京,18:15,唐山北,当天19:28,19:29,沈阳北,23:31
D36/D37,动车组,北京,15:51,唐山北,当天17:00,17:02,大连北,22:08
D4,动车组,沈阳北,07:50,唐山北,当天11:47,11:48,北京,12:59
D40/D41,动车组,北京,09:50,唐山北,当天10:59,11:01,大连北,16:05
D44/D45,动车组,北京,07:37,唐山北,当天08:47,08:49,大连北,14:02
D4526,动车组,北戴河,13:00,唐山北,当天13:55,13:58,北京,15:12
D5,动车组,北京,07:03,唐山北,当天08:12,08:13,沈阳北,11:53
D51,动车组,北京,17:13,唐山北,当天18:24,18:25,沈阳北,23:17
D6601/D6604,动车组,秦皇岛,17:34,唐山北,当天18:49,18:51,石家庄,22:48
D6611/D6614,动车组,北京,07:25,唐山北,当天08:36,08:38,唐山,09:02
D6612/D6613,动车组,唐山,09:22,唐山北,当天09:44,09:45,北京,10:56
D6616/D6617,动车组,唐山,21:07,唐山北,当天21:29,21:31,北京,22:42
D6619,动车组,北京,11:48,唐山北,当天13:01,13:03,秦皇岛,14:19
D7,动车组,北京,17:45,唐山北,当天18:54,18:55,沈阳北,22:53
K4017,快速,北京,04:34,唐山北,当天06:09,06:24,长春,20:27
K4018,快速,长春,14:37,唐山北,第2日01:42,01:57,北京,03:36
K4021/K4024,快速,北京,02:06,唐山北,当天04:28,04:42,哈尔滨,23:23
K4022,快速,哈尔滨,06:35,唐山北,当天22:45,23:00,北京,01:06
K4081/K4084,快速,北京,01:43,唐山北,当天03:32,03:38,齐齐哈尔,05:50
K4082/K4083,快速,齐齐哈尔,19:30,唐山北,第2日21:07,21:55,北京,00:43
K430/K7430,快速,白山市,15:12,唐山北,第2日08:33,08:36,北京,10:27
K4409,快速,北京,01:30,唐山北,当天03:03,03:15,通辽,13:10
K4410,快速,乌兰浩特,07:29,唐山北,当天22:09,22:27,北京,00:35
K497,快速,北京,13:36,唐山北,当天15:49,16:00,加格达奇,15:19
K5241,快速,北京,07:50,唐山北,当天09:24,09:27,秦皇岛,11:08
K5242,快速,秦皇岛,13:32,唐山北,当天15:16,15:19,北京,17:16
K5249,快速,北京,13:02,唐山北,当天15:14,15:40,昌黎,16:52
K5250,快速,昌黎,17:50,唐山北,当天18:54,19:20,北京,21:55
K5252/K5253,快速,唐山,13:26,唐山北,当天13:49,14:19,北京,18:01
K55/K58,快速,大连,11:45,唐山北,第2日00:44,00:47,包头,12:16
K681/K684,快速,北京,20:04,唐山北,当天22:18,22:40,大连,08:04
K7713/K7716,快速,秦皇岛,12:03,唐山北,当天14:35,14:41,石家庄,20:44
K7714/K7715,快速,石家庄,10:44,唐山北,当天17:47,17:52,秦皇岛,19:57
K7755/K7758,快速,承德,20:51,唐山北,第2日00:03,00:26,石家庄,08:01
K7762/K7763,快速,邯郸,08:17,唐山北,当天15:59,16:31,承德,20:01
K7765/K7768,快速,承德,06:25,唐山北,当天09:52,10:13,石家庄北,18:32
K7766/K7767,快速,石家庄北,07:25,唐山北,当天15:08,15:50,承德,19:13
K915,快速,北京东,20:28,唐山北,当天23:09,23:29,阜新南,06:54
K916,快速,阜新南,21:30,唐山北,第2日05:40,05:52,北京东,08:12
K95,快速,北京,23:03,唐山北,第2日00:37,00:42,抚顺北,09:57
K96,快速,抚顺北,22:02,唐山北,第2日09:04,09:09,北京,11:42
T17,空调特快,北京,16:46,唐山北,当天18:37,18:40,牡丹江,11:28
T18,空调特快,牡丹江,16:47,唐山北,第2日08:15,08:19,北京,09:48
T3017,空调特快,北京,05:10,唐山北,当天06:58,07:04,哈尔滨东,23:50
T3018,空调特快,哈尔滨东,10:46,唐山北,第2日00:56,01:33,北京,03:18
T3297,空调特快,北京,21:30,唐山北,当天23:23,23:26,牡丹江,16:58
T5685,空调特快,北京,07:14,唐山北,当天08:58,09:00,秦皇岛,10:26
T5686,空调特快,秦皇岛,11:19,唐山北,当天13:11,13:13,北京,14:34
T5687,空调特快,北京,11:01,唐山北,当天12:25,12:28,秦皇岛,14:04
T5688,空调特快,秦皇岛,16:28,唐山北,当天18:14,18:17,北京,20:40
Z118,直达特快,吉林,21:35,唐山北,第2日07:04,07:07,北京,08:36
Z203,直达特快,北京,20:31,唐山北,当天21:47,21:49,哈尔滨,06:44
Z4061,直达特快,北京,07:19,唐山北,当天09:08,09:11,长春,19:24
Z4064,直达特快,长春,08:29,唐山北,当天18:03,18:06,北京,19:50
Z621/Z721,直达特快,北京西,09:45,唐山北,当天11:20,11:26,沈阳北,17:03
