车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D257/D260,动车组,济南西,07:36,滕州东,当天08:42,08:43,郑州,12:48
D258/D259,动车组,郑州,17:20,滕州东,当天21:48,21:58,济南西,23:00
D6080/D6082,动车组,枣庄,07:45,滕州东,当天07:58,08:00,荣成,13:39
D6083,动车组,枣庄,07:45,滕州东,当天07:58,08:00,荣成,13:39
D6085/D6088,动车组,荣成,15:30,滕州东,当天21:38,21:43,枣庄,21:56
D6086/D6087,动车组,枣庄,07:05,滕州东,当天07:17,07:18,荣成,12:55
D9435/D9438,动车组,青岛,18:46,滕州东,当天22:38,22:38,滕州东,22:38
D9436/D9437,动车组,滕州东,07:08,滕州东,当天07:08,07:08,青岛北,10:45
G103,高速动车,北京南,07:05,滕州东,当天09:35,09:38,上海虹桥,12:42
G120,高速动车,上海虹桥,10:05,滕州东,当天13:23,13:25,北京南,15:59
G125,高速动车,北京南,11:10,滕州东,当天13:41,13:44,上海虹桥,16:58
G1252/G1253,高速动车,上海虹桥,11:20,滕州东,当天14:40,14:42,大连北,22:01
G1272/G1273,高速动车,沈阳北,07:39,滕州东,当天14:19,14:22,武汉,19:20
G130,高速动车,上海虹桥,11:26,滕州东,当天14:52,14:54,北京南,17:23
G137,高速动车,北京南,13:07,滕州东,当天15:39,15:41,上海虹桥,19:01
G149,高速动车,北京南,16:25,滕州东,当天19:01,19:04,上海虹桥,22:22
G154,高速动车,上海虹桥,17:14,滕州东,当天20:18,20:20,北京南,22:40
G155,高速动车,北京南,17:20,滕州东,当天19:53,19:55,上海虹桥,23:08
G160,高速动车,上海虹桥,17:39,滕州东,当天21:03,21:10,北京南,23:28
G161,高速动车,北京南,14:41,滕州东,当天17:35,17:39,安庆,21:41
G162,高速动车,安庆,10:12,滕州东,当天14:07,14:12,北京南,16:43
G1829,高速动车,济南西,15:22,滕州东,当天16:05,16:20,武汉,21:59
G1832,高速动车,西安北,17:10,滕州东,当天22:16,22:18,济南西,23:01
G1839/G1842,高速动车,青岛北,16:58,滕州东,当天20:32,20:34,郑州东,23:18
G201,高速动车,北京南,18:05,滕州东,当天20:44,20:46,南京南,22:35
G204,高速动车,南京南,07:25,滕州东,当天09:30,09:32,北京南,12:13
G207,高速动车,北京南,19:10,滕州东,当天21:54,21:56,徐州东,22:29
G208,高速动车,徐州东,07:11,滕州东,当天07:43,07:45,北京南,10:29
G212,高速动车,上海虹桥,08:38,滕州东,当天12:13,12:15,天津西,14:18
G215,高速动车,天津西,14:38,滕州东,当天16:44,16:46,上海虹桥,19:52
G22,高速动车,上海虹桥,16:00,滕州东,当天18:51,18:53,北京南,21:17
G221/G224,高速动车,青岛,06:46,滕州东,当天10:35,10:37,上海虹桥,13:44
G23,高速动车,北京南,17:00,滕州东,当天19:31,19:33,上海虹桥,22:39
G246/G247,高速动车,合肥南,06:40,滕州东,当天08:59,09:01,青岛,12:26
G252,高速动车,南京南,07:02,滕州东,当天09:04,09:06,济南西,09:56
G254/G255,高速动车,杭州东,06:53,滕州东,当天10:26,10:28,青岛,14:16
G269,高速动车,北京南,18:35,滕州东,当天21:10,21:17,合肥南,23:19
G280,高速动车,深圳北,07:43,滕州东,当天17:12,17:14,济南西,18:04
G297,高速动车,济南西,07:19,滕州东,当天08:09,08:11,上海虹桥,11:36
G338/G484,高速动车,滕州东,07:25,滕州东,当天07:25,07:25,北京南,10:18
G34,高速动车,杭州东,07:10,滕州东,当天10:38,10:40,北京南,13:05
G348,高速动车,福州,14:52,滕州东,当天21:26,21:30,济南西,22:32
G40,高速动车,绍兴北,14:48,滕州东,当天18:24,18:26,北京南,20:56
G412,高速动车,上海虹桥,12:23,滕州东,当天15:40,15:42,北京南,18:31
G451/G454,高速动车,青岛,18:45,滕州东,当天22:38,22:40,徐州东,23:06
G46,高速动车,江山,08:04,滕州东,当天13:00,13:02,北京南,15:28
G9216/G9217,高速动车,枣庄,08:39,滕州东,当天08:51,08:53,青岛,12:26
