车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3782/D3783,动车组,广州南,09:18,田东北,当天14:37,14:41,百色,15:05
D3789/D3792,动车组,百色,15:26,田东北,当天15:48,15:51,广州南,21:33
D3805/D3808,动车组,昆明南,08:36,田东北,当天12:07,12:09,南宁东,13:40
D3858/D3859,动车组,广州南,13:44,田东北,当天19:10,19:15,昆明南,22:31
D3912,动车组,昆明南,16:11,田东北,当天19:33,19:35,南宁东,21:02
D3916,动车组,昆明南,17:22,田东北,当天20:48,20:50,南宁东,22:28
D3917,动车组,南宁东,08:15,田东北,当天09:51,09:55,昆明南,13:38
D3918,动车组,昆明南,18:04,田东北,当天21:31,21:34,南宁东,23:06
D3919,动车组,南宁东,09:25,田东北,当天10:53,10:57,昆明南,14:40
D3943,动车组,衡阳东,07:05,田东北,当天14:19,14:23,昆明南,18:00
D3946,动车组,昆明南,15:19,田东北,当天18:58,19:00,桂林,22:48
D3951/D3954,动车组,昆明南,10:03,田东北,当天13:30,13:32,北海,16:34
D4203,动车组,南宁东,09:28,田东北,当天10:58,11:02,昆明南,14:35
D4206,动车组,昆明南,09:00,田东北,当天12:43,12:45,南宁,14:01
D4207,动车组,南宁,13:20,田东北,当天14:28,14:32,昆明南,18:21
D4208,动车组,昆明南,10:00,田东北,当天13:47,13:49,南宁,14:59
D4209,动车组,南宁,13:48,田东北,当天14:57,15:01,昆明南,18:34
D4210,动车组,昆明南,11:07,田东北,当天14:39,14:41,南宁,15:57
D4215/D4218,动车组,南宁,16:28,田东北,当天17:37,17:41,昆明南,21:22
D8333,动车组,南宁东,08:41,田东北,当天10:05,10:09,百色,10:32
D8335,动车组,南宁东,10:25,田东北,当天12:04,12:08,百色,12:37
D8340,动车组,百色,20:00,田东北,当天20:23,20:25,南宁东,21:56
D8361,动车组,南宁东,10:22,田东北,当天12:02,12:06,百色,12:36
D8461,动车组,桂林北,07:04,田东北,当天11:30,11:42,百色,12:12
D8462,动车组,百色,12:48,田东北,当天13:10,13:12,桂林,17:28
D9643,动车组,南宁东,12:51,田东北,当天14:13,14:17,百色,14:46
D9646,动车组,百色,15:35,田东北,当天15:58,16:00,南宁东,17:31
D9676,动车组,百色,09:00,田东北,当天09:32,09:35,南宁东,11:16
D9681,动车组,南宁东,06:46,田东北,当天08:11,08:13,百色,08:36
D9682,动车组,百色,09:00,田东北,当天09:22,09:24,南宁东,10:51
