车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2201,动车组,郑州,08:04,天门南,当天11:34,11:36,成都东,19:40
D2202,动车组,成都东,07:05,天门南,当天15:42,15:44,郑州,19:56
D2215/D2218,动车组,重庆北,08:39,天门南,当天14:25,14:27,上海虹桥,21:20
D2216/D2217,动车组,上海虹桥,08:39,天门南,当天15:13,15:15,重庆北,21:16
D2221/D2224,动车组,成都东,07:36,天门南,当天15:53,15:55,杭州东,22:14
D2222/D2223,动车组,杭州东,07:34,天门南,当天13:49,13:55,成都东,22:10
D2253/D2256,动车组,成都东,08:30,天门南,当天16:57,16:59,南京南,21:13
D2259,动车组,汉口,10:43,天门南,当天11:17,11:19,成都东,19:32
D2260,动车组,成都东,10:20,天门南,当天18:23,18:25,汉口,19:04
D2261/D2264,动车组,成都东,09:05,天门南,当天17:06,17:08,杭州东,22:56
D2266,动车组,重庆北,07:09,天门南,当天12:44,12:47,汉口,13:30
D2267/D2270,动车组,重庆北,07:33,天门南,当天13:25,13:27,南通,20:36
D2271,动车组,南京南,11:39,天门南,当天16:08,16:11,重庆北,22:19
D2272,动车组,重庆北,08:29,天门南,当天14:15,14:17,南京南,19:06
D2276/D2277,动车组,武汉,08:11,天门南,当天09:11,09:13,重庆北,15:21
D2374,动车组,成都东,09:29,天门南,当天17:52,17:54,南京南,22:11
D3005/D3008,动车组,宜昌东,06:40,天门南,当天08:14,08:16,上海虹桥,15:15
D3072/D3073,动车组,上海虹桥,06:50,天门南,当天13:26,13:28,宜昌东,14:57
D3078,动车组,宜昌东,15:17,天门南,当天16:39,16:41,南京南,21:02
D3082,动车组,宜昌东,08:30,天门南,当天09:57,10:00,南京南,14:32
D365/D368,动车组,成都东,10:55,天门南,当天18:59,19:01,武汉,20:05
D5701/D5704,动车组,宜昌东,09:56,天门南,当天11:12,11:14,武昌,12:00
D5702/D5703,动车组,武昌,10:22,天门南,当天11:08,11:10,利川,15:07
D5712/D5713,动车组,武昌,07:30,天门南,当天08:16,08:18,宜昌东,09:36
D5721/D5724,动车组,利川,15:40,天门南,当天19:43,19:52,武昌,21:00
D5726/D5727,动车组,武昌,20:41,天门南,当天21:26,21:28,宜昌东,22:51
D5732/D5733,动车组,武昌,17:40,天门南,当天18:26,18:28,宜昌东,19:50
D5734,动车组,宜昌东,15:12,天门南,当天16:30,16:32,武昌,17:20
D5801,动车组,汉口,17:05,天门南,当天17:39,17:41,宜昌东,19:05
D5802,动车组,宜昌东,19:30,天门南,当天20:52,20:54,汉口,21:33
D5804,动车组,宜昌东,17:50,天门南,当天19:08,19:10,汉口,20:09
D5816,动车组,宜昌东,08:55,天门南,当天10:20,10:22,汉口,10:58
D5820,动车组,宜昌东,16:08,天门南,当天17:42,17:44,汉口,18:22
D5822,动车组,宜昌东,21:29,天门南,当天22:49,22:53,汉口,23:31
D5823,动车组,汉口,19:13,天门南,当天19:47,19:49,宜昌东,21:13
D5825,动车组,汉口,19:20,天门南,当天19:54,19:54,天门南,19:54
D5827,动车组,汉口,19:50,天门南,当天20:33,20:33,天门南,20:33
D5828,动车组,天门南,20:25,天门南,当天20:25,20:25,汉口,21:04
D5830,动车组,天门南,21:01,天门南,当天21:01,21:01,汉口,21:39
D5835,动车组,汉口,17:33,天门南,当天18:07,18:09,荆州,18:57
D5836,动车组,荆州,19:17,天门南,当天19:59,20:01,汉口,20:39
D5837,动车组,汉口,19:30,天门南,当天20:10,20:12,宜昌东,21:42
D5838,动车组,宜昌东,19:30,天门南,当天21:02,21:04,汉口,21:40
D5851/D5854,动车组,宜昌东,06:16,天门南,当天07:50,07:52,武汉,09:03
D5852/D5853,动车组,武汉,09:33,天门南,当天10:29,10:31,宜昌东,11:54
D5855/D5858,动车组,宜昌东,09:13,天门南,当天10:35,10:38,汉口,11:13
D5856/D5857,动车组,汉口,11:46,天门南,当天12:20,12:22,宜昌东,13:41
D5861/D5864,动车组,宜昌东,12:24,天门南,当天13:54,13:56,武汉,15:22
D5862/D5863,动车组,武汉,15:42,天门南,当天16:54,16:56,宜昌东,18:25
D5865/D5868,动车组,宜昌东,15:22,天门南,当天16:48,16:50,武汉,17:57
D5866/D5867,动车组,武汉,18:25,天门南,当天19:30,19:32,宜昌东,20:55
D5871,动车组,汉口,17:19,天门南,当天17:54,17:56,宜昌东,19:19
D5875/D5878,动车组,宜昌东,10:22,天门南,当天11:44,11:46,武汉,12:50
D5876/D5877,动车组,武汉,14:30,天门南,当天15:31,15:33,宜昌东,17:02
D5883/D5886,动车组,天门南,09:34,天门南,当天09:34,09:34,汉口,10:16
D5884,动车组,天门南,09:37,天门南,当天09:37,09:37,武昌,11:04
D5885,动车组,汉口,08:08,天门南,当天08:45,08:45,天门南,08:45
D5887,动车组,汉口,09:25,天门南,当天10:05,10:07,荆州,10:50
D5888,动车组,荆州,11:32,天门南,当天12:19,12:21,汉口,13:12
D5889,动车组,汉口,13:50,天门南,当天14:26,14:26,天门南,14:26
D5890,动车组,天门南,14:50,天门南,当天14:50,14:50,汉口,15:25
D5891,动车组,汉口,16:18,天门南,当天17:06,17:22,荆州,18:35
D5892,动车组,荆州,18:57,天门南,当天19:39,19:41,汉口,20:17
D5896,动车组,宜昌东,07:12,天门南,当天08:28,08:30,汉口,09:06
D5904,动车组,荆州,08:00,天门南,当天08:53,08:55,武汉,10:01
D5912/D5913,动车组,黄冈东,08:00,天门南,当天09:48,09:50,利川,14:00
D5916,动车组,宜昌东,08:10,天门南,当天09:27,09:29,汉口,10:07
D5918/D5919,动车组,武汉,16:16,天门南,当天17:20,17:22,宜昌东,18:47
D5920,动车组,宜昌东,19:10,天门南,当天20:32,20:34,武汉,21:39
D5934,动车组,荆州,10:51,天门南,当天11:32,11:34,汉口,12:11
D5941/D5944,动车组,宜昌东,09:23,天门南,当天10:46,10:48,大冶北,12:57
D5951/D5954,动车组,宜昌东,17:08,天门南,当天18:32,18:34,大冶北,20:36
D5952/D5953,动车组,大冶北,07:43,天门南,当天09:32,09:34,宜昌东,10:58
D5955,动车组,汉口,13:42,天门南,当天14:17,14:19,宜昌东,15:46
