车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2565,动车组,太原南,15:00,天水南,当天20:16,20:18,兰州西,21:42
D2566,动车组,兰州西,08:40,天水南,当天10:02,10:05,太原南,15:31
D2567,动车组,太原南,07:48,天水南,当天13:24,13:26,兰州西,14:50
D2568,动车组,兰州西,15:00,天水南,当天16:23,16:25,太原南,21:37
D2569,动车组,太原南,13:34,天水南,当天19:12,19:14,西宁,21:57
D2651,动车组,西安北,08:00,天水南,当天09:41,09:43,兰州西,11:07
D2652,动车组,兰州西,08:00,天水南,当天09:23,09:25,西安北,11:10
D2653,动车组,西安北,08:42,天水南,当天10:23,10:25,兰州西,11:56
D2654,动车组,兰州西,08:32,天水南,当天09:54,09:56,西安北,11:38
D2655,动车组,西安北,11:30,天水南,当天13:11,13:13,兰州西,14:38
D2656,动车组,兰州西,09:03,天水南,当天10:25,10:27,西安北,12:10
D2657,动车组,西安北,12:00,天水南,当天13:42,13:44,兰州西,15:08
D2658,动车组,兰州西,09:26,天水南,当天10:49,10:53,西安北,12:40
D2659,动车组,西安北,12:30,天水南,当天14:11,14:15,兰州西,15:39
D2660,动车组,兰州西,11:33,天水南,当天12:56,12:58,西安北,14:39
D2661,动车组,西安北,15:40,天水南,当天17:15,17:19,兰州西,18:37
D2662,动车组,兰州西,12:19,天水南,当天13:47,13:49,西安北,15:30
D2663,动车组,西安北,18:40,天水南,当天20:21,20:24,兰州西,21:49
D2664,动车组,兰州西,15:18,天水南,当天16:34,16:37,西安北,18:17
D2665,动车组,西安北,19:20,天水南,当天21:01,21:03,兰州西,22:27
D2666,动车组,兰州西,15:35,天水南,当天16:58,17:00,西安北,18:46
D2667,动车组,西安北,20:00,天水南,当天21:41,21:43,兰州西,23:07
D2668,动车组,兰州西,16:10,天水南,当天17:32,17:36,西安北,19:15
D2670,动车组,兰州西,19:00,天水南,当天20:22,20:24,西安北,22:10
D2674,动车组,嘉峪关南,13:05,天水南,当天19:10,19:13,西安北,20:55
D2686,动车组,西宁,07:50,天水南,当天10:37,10:39,西安北,12:26
D2687,动车组,西安北,10:10,天水南,当天11:51,11:53,西宁,14:43
D2688,动车组,西宁,08:45,天水南,当天11:36,11:38,西安北,13:20
D2689,动车组,西安北,13:00,天水南,当天14:41,14:43,西宁,17:35
D2690,动车组,西宁,10:28,天水南,当天13:26,13:29,西安北,15:09
D2691,动车组,西安北,13:26,天水南,当天15:07,15:10,西宁,17:54
D2692,动车组,西宁,12:35,天水南,当天15:24,15:26,西安北,17:16
D2693,动车组,西安北,15:00,天水南,当天16:41,16:43,西宁,19:35
D2694,动车组,西宁,14:28,天水南,当天17:17,17:19,西安北,19:00
D2695,动车组,西安北,15:50,天水南,当天17:37,17:39,西宁,20:50
D2696,动车组,西宁,15:05,天水南,当天17:57,18:01,西安北,19:46
D2697,动车组,西安北,17:05,天水南,当天18:53,18:55,西宁,21:47
D2698,动车组,西宁,18:00,天水南,当天20:50,20:54,西安北,22:34
D2699,动车组,西安北,17:45,天水南,当天19:26,19:28,西宁,22:11
D8961,动车组,天水南,08:23,天水南,当天08:23,08:23,兰州西,10:00
D8962,动车组,兰州西,06:42,天水南,当天07:58,07:58,天水南,07:58
D8963,动车组,天水南,12:10,天水南,当天12:10,12:10,兰州西,13:46
D8964,动车组,兰州西,10:20,天水南,当天11:55,11:55,天水南,11:55
D8965,动车组,天水南,16:10,天水南,当天16:10,16:10,兰州西,17:46
D8966,动车组,兰州西,14:10,天水南,当天15:45,15:45,天水南,15:45
D8967,动车组,天水南,20:35,天水南,当天20:35,20:35,兰州西,22:11
D8968,动车组,兰州西,18:20,天水南,当天20:02,20:02,天水南,20:02
D8969,动车组,天水南,09:21,天水南,当天09:21,09:21,兰州西,10:45
D8970,动车组,兰州西,07:32,天水南,当天09:01,09:01,天水南,09:01
D8971,动车组,天水南,13:05,天水南,当天13:05,13:05,兰州西,14:29
D8972,动车组,兰州西,11:10,天水南,当天12:44,12:44,天水南,12:44
D8973,动车组,天水南,10:15,天水南,当天10:15,10:15,兰州西,11:45
D8974,动车组,兰州西,08:11,天水南,当天09:35,09:35,天水南,09:35
D8975,动车组,天水南,18:11,天水南,当天18:11,18:11,兰州西,19:42
D8976,动车组,兰州西,16:16,天水南,当天17:45,17:45,天水南,17:45
D8977,动车组,天水南,22:00,天水南,当天22:00,22:00,兰州西,23:31
D8978,动车组,兰州西,20:02,天水南,当天21:38,21:38,天水南,21:38
G1874/G1875,高速动车,杭州东,07:15,天水南,当天16:47,16:49,兰州西,18:14
G1912/G1913,高速动车,上海虹桥,06:17,天水南,当天15:28,15:30,兰州西,16:55
G1927/G1930,高速动车,兰州西,10:37,天水南,当天12:00,12:02,上海虹桥,21:09
G2021,高速动车,郑州东,08:38,天水南,当天12:53,12:56,兰州西,14:20
G2022,高速动车,兰州西,14:40,天水南,当天16:04,16:06,郑州东,20:39
G2023,高速动车,商丘,08:17,天水南,当天13:53,13:57,兰州西,15:22
G2024,高速动车,兰州西,15:45,天水南,当天17:07,17:10,郑州东,21:02
G2027,高速动车,徐州,16:50,天水南,当天22:28,22:30,兰州西,23:48
G96/G97,高速动车,广州南,08:55,天水南,当天18:03,18:05,兰州西,19:23
