车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1039/K1042,快速,兰州,22:02,桐柏,第2日16:09,16:13,宁波,08:09
K1040/K1041,快速,宁波,12:54,桐柏,第2日03:59,04:04,兰州,21:18
K1105/K1108,快速,南阳,21:30,桐柏,当天23:08,23:12,上海,13:05
K1106/K1107,快速,上海,15:04,桐柏,第2日03:46,03:49,南阳,05:25
K1122/K1123,快速,绍兴,09:16,桐柏,当天23:07,23:11,宝鸡,10:19
K1309/K1312,快速,东莞东,18:10,桐柏,第2日14:38,14:42,西宁,12:23
K1324,快速,苏州,17:15,桐柏,第2日10:30,10:35,榆林,05:15
K305/K308,快速,温州,18:50,桐柏,第2日14:52,14:56,兰州,08:08
K306/K307,快速,兰州,20:33,桐柏,第2日15:12,15:18,温州,13:40
K315/K318,快速,西安,19:07,桐柏,第2日03:24,03:30,南宁,05:50
K393/K396,快速,西安,23:58,桐柏,第2日07:55,08:16,福州,07:10
K394/K395,快速,福州,08:18,桐柏,第2日06:13,06:16,西安,15:05
K425/K428,快速,洛阳,16:38,桐柏,当天22:46,22:50,宁波,15:18
K426/K427,快速,宁波,18:03,桐柏,第2日10:12,10:18,洛阳,17:24
K466/K467,快速,宁波,13:31,桐柏,第2日05:00,05:03,西安,13:16
K655/K658,快速,呼和浩特东,16:34,桐柏,第2日15:31,15:59,杭州,06:06
K656/K657,快速,杭州,21:35,桐柏,第2日10:45,11:28,呼和浩特东,12:12
T389,空调特快,合肥,17:00,桐柏,当天22:47,23:01,西宁,18:56
T390,空调特快,西宁,08:20,桐柏,第2日04:14,04:20,合肥,10:00
