车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1325,高速动车,南京南,07:39,铜仁南,当天17:12,17:14,贵阳北,18:31
G1326,高速动车,贵阳北,11:44,铜仁南,当天12:59,13:01,上海虹桥,20:56
G1327,高速动车,上海虹桥,11:39,铜仁南,当天19:46,19:48,贵阳北,21:04
G1328,高速动车,贵阳北,11:54,铜仁南,当天13:09,13:11,上海虹桥,21:42
G1330,高速动车,贵阳北,13:57,铜仁南,当天15:12,15:14,上海虹桥,23:00
G1331,高速动车,杭州东,14:59,铜仁南,当天21:49,21:51,贵阳北,23:00
G1332,高速动车,贵阳北,06:52,铜仁南,当天08:07,08:09,杭州东,14:36
G1371,高速动车,上海虹桥,07:22,铜仁南,当天15:18,15:20,昆明南,19:18
G1373,高速动车,上海虹桥,08:55,铜仁南,当天16:03,16:05,昆明南,19:41
G1377,高速动车,南京南,07:39,铜仁南,当天17:23,17:25,昆明南,21:20
G1379,高速动车,南京南,07:39,铜仁南,当天16:35,16:43,昆明南,20:19
G1397,高速动车,合肥南,08:28,铜仁南,当天16:54,16:56,昆明南,20:41
G1481,高速动车,南京南,11:28,铜仁南,当天20:10,20:12,贵阳北,21:28
G1484,高速动车,贵阳北,08:04,铜仁南,当天09:19,09:21,南京南,17:53
G1512,高速动车,贵阳北,08:49,铜仁南,当天10:04,10:07,南昌西,14:08
G1521,高速动车,武汉,08:01,铜仁南,当天11:51,11:59,贵阳北,13:28
G1522,高速动车,贵阳北,10:27,铜仁南,当天11:42,11:44,武汉,15:33
G1523,高速动车,武汉,16:07,铜仁南,当天19:59,20:01,贵阳北,21:17
G1524,高速动车,贵阳北,14:23,铜仁南,当天15:38,15:41,武汉,19:33
G1532,高速动车,贵阳北,12:30,铜仁南,当天13:45,13:47,徐州东,22:05
G1533,高速动车,徐州东,09:00,铜仁南,当天18:10,18:12,贵阳北,19:35
G1534,高速动车,贵阳北,15:35,铜仁南,当天16:50,16:52,郑州东,22:57
G1537,高速动车,郑州东,10:38,铜仁南,当天17:04,17:06,昆明南,20:56
G1686/G1687,高速动车,贵阳北,09:34,铜仁南,当天10:49,10:52,厦门北,20:28
G1695/G1698,高速动车,福州,08:42,铜仁南,当天15:29,15:38,昆明南,19:28
G2101,高速动车,长沙南,07:50,铜仁南,当天10:04,10:06,贵阳北,11:29
G2102,高速动车,贵阳北,07:42,铜仁南,当天08:57,08:59,长沙南,11:12
G2103,高速动车,长沙南,11:33,铜仁南,当天14:02,14:04,贵阳北,15:19
G2105,高速动车,长沙南,13:20,铜仁南,当天15:46,15:48,贵阳北,17:04
G2108,高速动车,贵阳北,17:40,铜仁南,当天18:55,19:03,长沙南,21:16
G2111,高速动车,长沙南,07:23,铜仁南,当天09:44,09:46,昆明南,13:29
G2113,高速动车,长沙南,07:50,铜仁南,当天10:04,10:06,昆明南,14:10
G2115,高速动车,长沙南,08:23,铜仁南,当天10:44,10:46,昆明南,14:39
G2116,高速动车,昆明南,10:30,铜仁南,当天14:16,14:18,长沙南,16:38
G2118,高速动车,昆明南,13:59,铜仁南,当天17:54,17:56,长沙南,20:23
G2122,高速动车,昆明南,15:09,铜仁南,当天19:15,19:17,长沙南,21:29
G2124,高速动车,昆明南,15:53,铜仁南,当天19:54,19:56,长沙南,22:09
G2332/G2333,高速动车,宁波,07:50,铜仁南,当天16:25,16:27,贵阳北,17:52
G2362/G2363,高速动车,宁波,10:47,铜仁南,当天19:22,19:24,贵阳北,20:46
G401,高速动车,北京西,11:43,铜仁南,当天21:04,21:06,贵阳北,22:23
G4061,高速动车,长沙南,10:35,铜仁南,当天12:29,12:31,昆明南,16:20
G4062,高速动车,昆明南,16:45,铜仁南,当天20:52,20:54,长沙南,23:00
G4121,高速动车,长沙南,08:30,铜仁南,当天10:44,10:46,昆明南,14:37
G4124,高速动车,昆明南,15:03,铜仁南,当天18:52,18:54,长沙南,21:23
G4831,高速动车,杭州东,06:01,铜仁南,当天13:19,13:21,贵阳北,14:37
G4832,高速动车,贵阳北,15:04,铜仁南,当天16:12,16:14,杭州东,23:37
G4833,高速动车,上海虹桥,04:56,铜仁南,当天12:18,12:20,贵阳北,13:36
G4835,高速动车,上海虹桥,05:01,铜仁南,当天12:52,12:54,贵阳北,14:17
G4913,高速动车,上海虹桥,00:50,铜仁南,当天07:26,07:28,贵阳北,08:44
G5353,高速动车,铜仁南,12:30,铜仁南,当天12:30,12:30,贵阳北,13:39
G5354,高速动车,贵阳北,10:54,铜仁南,当天12:10,12:10,铜仁南,12:10
G5357,高速动车,铜仁南,07:50,铜仁南,当天07:50,07:50,贵阳北,09:20
G5358,高速动车,贵阳北,20:37,铜仁南,当天22:10,22:10,铜仁南,22:10
G5373,高速动车,铜仁南,12:28,铜仁南,当天12:28,12:28,贵阳北,13:43
