车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2702,动车组,乌鲁木齐,08:29,吐哈,当天10:27,10:33,兰州西,20:08
D2705,动车组,兰州西,08:54,吐哈,当天18:31,18:34,乌鲁木齐,20:45
D2713,动车组,兰州西,11:20,吐哈,当天21:07,21:10,乌鲁木齐,23:28
D2714,动车组,乌鲁木齐,11:44,吐哈,当天13:44,13:47,兰州西,23:12
D2720,动车组,乌鲁木齐,11:20,吐哈,当天13:18,13:21,西宁,21:39
D4182,动车组,乌鲁木齐,08:30,吐哈,当天10:35,10:38,西宁,18:37
D4817,动车组,兰州西,12:00,吐哈,当天22:36,22:38,乌鲁木齐南,00:25
D8801,动车组,哈密,08:44,吐哈,当天10:02,10:05,乌鲁木齐,12:16
D8802,动车组,乌鲁木齐,09:43,吐哈,当天11:50,11:53,哈密,13:14
D8807,动车组,哈密,16:58,吐哈,当天18:16,18:19,乌鲁木齐,20:30
D8808,动车组,乌鲁木齐,19:44,吐哈,当天21:51,21:57,哈密,23:18
D8810,动车组,乌鲁木齐南,15:17,吐哈,当天17:03,17:05,哈密,18:23
D8811,动车组,哈密,15:27,吐哈,当天16:45,16:48,乌鲁木齐,19:00
D8812,动车组,乌鲁木齐,16:56,吐哈,当天19:10,19:13,哈密,20:31
D8813,动车组,哈密,20:20,吐哈,当天21:38,21:41,乌鲁木齐,23:53
D8815,动车组,哈密,09:28,吐哈,当天10:46,10:49,乌鲁木齐,13:04
D8817,动车组,哈密,15:21,吐哈,当天16:39,16:42,乌鲁木齐,18:55
D8818,动车组,乌鲁木齐,16:57,吐哈,当天19:06,19:09,哈密,20:30
Z105,直达特快,济南,22:02,吐哈,第3日08:34,08:37,乌鲁木齐,11:32
