车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C1003,城际高速,长春,06:30,图们北,当天09:15,09:17,珲春,09:40
C1008,城际高速,珲春,10:00,图们北,当天10:22,10:24,长春,13:05
C1013,城际高速,长春,09:27,图们北,当天12:01,12:03,珲春,12:26
C1014,城际高速,珲春,13:50,图们北,当天14:12,14:14,长春,16:55
C1022,城际高速,珲春,17:38,图们北,当天18:00,18:02,长春,20:37
C1023,城际高速,长春,15:10,图们北,当天17:55,17:57,珲春,18:20
C1026,城际高速,珲春,18:40,图们北,当天19:02,19:04,长春,21:45
C1037,城际高速,延吉西,07:03,图们北,当天07:18,07:20,珲春,07:43
C1042,城际高速,珲春,08:22,图们北,当天08:44,08:46,长春,11:27
C1043,城际高速,长春,12:26,图们北,当天15:13,15:15,珲春,15:38
C1044,城际高速,珲春,16:24,图们北,当天16:46,16:48,长春,19:38
D112,动车组,齐齐哈尔,07:06,图们北,当天13:34,13:36,珲春,13:59
D21,动车组,北京,07:08,图们北,当天16:53,16:55,珲春,17:18
D22,动车组,珲春,12:46,图们北,当天13:09,13:11,北京,22:34
G4115/G4118,高速动车,珲春,10:18,图们北,当天10:41,10:43,济南西,20:18
G4756,高速动车,珲春,14:41,图们北,当天15:04,15:06,北京南,01:06
G8125,高速动车,大连北,07:45,图们北,当天14:26,14:28,珲春,14:51
G8126,高速动车,珲春,15:43,图们北,当天16:06,16:08,大连北,22:32
G8127,高速动车,大连,14:16,图们北,当天20:43,20:45,珲春,21:08
G8128,高速动车,珲春,06:40,图们北,当天07:03,07:05,大连,13:33
