车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D5181,动车组,达州,07:36,土溪,当天08:02,08:04,成都东,10:37
D5186,动车组,成都东,10:14,土溪,当天12:38,12:40,达州,13:06
D5187,动车组,达州,12:47,土溪,当天13:15,13:17,成都东,15:33
D5190,动车组,成都东,16:09,土溪,当天18:22,18:25,达州,18:51
D5191,动车组,达州,17:32,土溪,当天17:59,18:03,成都东,20:33
D5193,动车组,达州,19:27,土溪,当天19:54,19:59,成都,22:35
D5195,动车组,达州,20:11,土溪,当天20:39,20:41,成都,23:22
D5197,动车组,达州,13:40,土溪,当天14:08,14:10,成都东,16:35
K4029,快速,宜昌东,07:36,土溪,当天16:17,16:25,成都,22:00
K4030,快速,成都,16:20,土溪,当天20:59,21:04,宜昌东,06:30
K4541,快速,汉口,00:30,土溪,当天15:03,15:27,成都东,22:51
K4731/K4734,快速,成都,04:31,土溪,当天09:27,09:33,深圳,01:45
K9415,快速,巴中,06:59,土溪,当天10:13,10:15,成都,14:01
K9416/K9417,快速,成都东,14:43,土溪,当天18:40,18:45,巴中,22:33
K9510,快速,成都,16:17,土溪,当天20:53,20:56,万州,01:41
T245/T248,空调特快,成都东,12:45,土溪,当天16:39,16:51,武昌,04:55
