车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2728,普快,绥芬河,16:05,苇河,当天20:13,20:15,大连,11:26
K4710,快速,牡丹江,20:20,苇河,当天22:28,22:31,大连,14:13
K7002,快速,绥芬河,12:40,苇河,当天16:06,16:09,哈尔滨东,19:02
K7005/K7008,快速,佳木斯,07:11,苇河,当天15:37,15:48,绥芬河,21:18
K7048,快速,八面通,15:25,苇河,当天19:38,19:40,哈尔滨东,22:25
K7081,快速,香坊,16:30,苇河,当天18:30,18:32,东方红,05:10
K7195,快速,香坊,14:28,苇河,当天16:23,16:25,绥芬河,20:43
K7227,快速,香坊,06:08,苇河,当天08:15,08:17,亚布力南,08:36
K7228,快速,亚布力南,13:30,苇河,当天13:47,13:49,香坊,16:05
T262,空调特快,牡丹江,16:12,苇河,当天18:17,18:19,大连,07:42
