车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
6241,普慢,东京城,09:40,温春,当天10:45,10:48,牡丹江,11:22
6242,普快,牡丹江,07:32,温春,当天08:01,08:03,东京城,09:10
6243,普快,东京城,17:03,温春,当天18:13,18:15,牡丹江,18:49
6244,普慢,牡丹江,12:55,温春,当天13:24,13:27,东京城,14:33
6247,普慢,东京城,05:25,温春,当天06:28,06:30,牡丹江,07:03
6248,普慢,牡丹江,17:32,温春,当天18:05,18:18,东京城,19:22
K7273,快速,东京城,05:27,温春,当天06:12,06:18,牡丹江,06:45
K7275,快速,东京城,07:32,温春,当天08:33,08:37,牡丹江,08:58
K7276,快速,牡丹江,07:10,温春,当天07:31,07:40,东京城,08:33
K7277,快速,东京城,08:58,温春,当天09:54,10:02,牡丹江,10:36
K7283/K7286,快速,东京城,14:12,温春,当天15:03,15:12,牡丹江,15:33
K7287,快速,东京城,17:48,温春,当天18:32,18:38,牡丹江,18:59
K7290,快速,牡丹江,19:25,温春,当天19:46,19:48,东京城,20:36
