车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6501/C6504,城际高速,荣成,15:53,文登东,当天16:05,16:07,青岛,18:33
C6551,城际高速,青岛北,06:00,文登东,当天08:04,08:06,荣成,08:18
C6552,城际高速,荣成,06:40,文登东,当天06:52,06:54,青岛北,09:10
C6557,城际高速,青岛北,07:20,文登东,当天09:24,09:26,荣成,09:38
C6563,城际高速,青岛北,09:40,文登东,当天12:05,12:08,荣成,12:20
C6570,城际高速,荣成,16:50,文登东,当天17:02,17:04,青岛北,19:17
C6573,城际高速,青岛北,14:45,文登东,当天16:56,16:58,荣成,17:10
C6574,城际高速,荣成,18:30,文登东,当天18:42,18:44,青岛北,20:54
C6576,城际高速,荣成,19:35,文登东,当天19:47,19:49,青岛北,21:41
D6065,动车组,济南东,16:00,文登东,当天20:42,20:43,荣成,20:55
D6066,动车组,荣成,08:00,文登东,当天08:12,08:13,济南东,12:39
D6073,动车组,济南,13:09,文登东,当天17:23,17:25,荣成,17:37
D6074,动车组,荣成,09:45,文登东,当天09:57,09:58,济南,14:20
D6077,动车组,济南西,17:48,文登东,当天22:22,22:24,荣成,22:36
D6079,动车组,济南西,17:50,文登东,当天22:27,22:28,荣成,22:40
D6081,动车组,济南西,17:50,文登东,当天22:23,22:24,荣成,22:36
D6089,动车组,烟台,20:10,文登东,当天21:22,21:23,荣成,21:35
D6090,动车组,荣成,08:00,文登东,当天08:11,08:12,烟台,09:20
D6093,动车组,烟台,07:40,文登东,当天08:52,08:53,荣成,09:05
D6095,动车组,即墨北,12:15,文登东,当天14:26,14:27,荣成,14:40
D6096,动车组,荣成,14:10,文登东,当天14:22,14:23,即墨北,16:35
D6099,动车组,烟台,18:50,文登东,当天20:02,20:03,荣成,20:15
D9455,动车组,济南,05:51,文登东,当天10:13,10:24,荣成,10:36
D9458,动车组,荣成,17:15,文登东,当天17:27,17:28,济南西,22:11
D9471,动车组,即墨北,14:05,文登东,当天16:10,16:12,荣成,16:25
D9472,动车组,荣成,11:25,文登东,当天11:37,11:39,即墨北,13:45
G1846,高速动车,荣成,10:00,文登东,当天10:12,10:13,西安北,21:03
G4109/G4112,高速动车,荣成,12:10,文登东,当天12:22,12:23,武汉,22:41
G4110/G4111,高速动车,武汉,06:11,文登东,当天15:57,15:58,荣成,16:10
G4222,高速动车,荣成,11:40,文登东,当天11:51,11:53,北京南,18:31
G475,高速动车,北京南,15:36,文登东,当天22:03,22:05,荣成,22:17
