车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1633,高速动车,上海虹桥,12:25,五府山,当天15:24,15:26,福州,17:17
G1637,高速动车,上海虹桥,15:17,五府山,当天18:39,18:41,福州,20:18
G1656,高速动车,厦门北,14:09,五府山,当天17:31,17:33,上海虹桥,20:38
G1658,高速动车,厦门北,16:15,五府山,当天19:42,19:44,上海虹桥,22:47
G1685/G1688,高速动车,厦门北,09:21,五府山,当天13:11,13:20,贵阳北,20:29
G321,高速动车,北京南,08:40,五府山,当天16:39,16:41,厦门北,20:07
G355,高速动车,北京南,08:40,五府山,当天16:37,16:39,厦门北,20:07
G5202/G5203,高速动车,福州,17:07,五府山,当天18:44,18:46,南昌西,20:18
G5305/G5308,高速动车,南昌西,07:52,五府山,当天09:27,09:29,厦门北,13:15
G5906/G5907,高速动车,厦门,10:12,五府山,当天15:00,15:02,南昌西,16:40
G8997,高速动车,上饶,19:20,五府山,当天19:35,19:37,莆田,22:43
G8998,高速动车,莆田,07:55,五府山,当天10:22,10:24,上饶,10:41
G917,高速动车,上海虹桥,15:17,五府山,当天18:39,18:41,福州,20:18
G9812/G9813,高速动车,福州,16:26,五府山,当天18:01,18:03,南昌西,19:47
G9839,高速动车,婺源,06:49,五府山,当天07:26,07:28,福州,09:28
G9862/G9863,高速动车,福州,19:08,五府山,当天20:43,20:45,南昌西,22:10
