车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3027,普快,郑州,14:13,乌鲁木齐南,第3日13:15,13:15,乌鲁木齐南,13:15
3028/3029,普快,乌鲁木齐南,15:25,乌鲁木齐南,当天15:25,15:25,郑州,20:50
3155/3158,普快,奎屯,16:51,乌鲁木齐南,当天20:36,20:56,信阳,03:40
3188/3189,普快,上海,07:46,乌鲁木齐南,第4日00:19,00:19,乌鲁木齐南,00:19
3247,普快,郑州,16:00,乌鲁木齐南,第3日13:27,13:27,乌鲁木齐南,13:27
3398,普快,奎屯,20:11,乌鲁木齐南,第2日03:33,04:01,成都,22:00
3669,普快,天水,23:30,乌鲁木齐南,第3日04:51,04:51,乌鲁木齐南,04:51
3902/3903,普快,汉口,23:59,乌鲁木齐南,第4日04:29,04:29,乌鲁木齐南,04:29
3927,普快,商丘,07:33,乌鲁木齐南,第3日06:18,06:18,乌鲁木齐南,06:18
3928,普快,乌鲁木齐南,08:12,乌鲁木齐南,当天08:12,08:12,郑州,12:10
5815,普快,乌鲁木齐南,21:21,乌鲁木齐南,当天21:21,21:21,伊宁,07:00
5816,普快,伊宁,21:38,乌鲁木齐南,第2日08:47,08:47,乌鲁木齐南,08:47
5817/5820,普快,和田,16:44,乌鲁木齐南,第2日20:15,20:38,乌鲁木齐,20:53
5818/5819,普快,乌鲁木齐,11:27,乌鲁木齐南,当天11:42,11:52,和田,13:32
7551,普快,哈密,09:29,乌鲁木齐南,当天20:24,20:24,乌鲁木齐南,20:24
7552,普快,乌鲁木齐南,11:48,乌鲁木齐南,当天11:48,11:48,哈密,21:21
7561/7564,普慢,和田,16:13,乌鲁木齐南,第2日16:38,16:38,乌鲁木齐南,16:38
7562/7563,普慢,乌鲁木齐南,12:14,乌鲁木齐南,当天12:14,12:14,和田,13:26
7567,普快,乌鲁木齐南,23:00,乌鲁木齐南,当天23:00,23:00,乌西,23:59
7568,普快,乌西,23:00,乌鲁木齐南,当天23:59,23:59,乌鲁木齐南,23:59
7572,普慢,乌西,23:00,乌鲁木齐南,当天23:59,23:59,乌鲁木齐南,23:59
