车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3155/3158,普快,奎屯,16:51,乌西,当天19:56,20:11,信阳,03:40
3398,普快,奎屯,20:11,乌西,第2日02:50,03:05,成都,22:00
5801,普快,乌鲁木齐,22:36,乌西,当天22:49,22:55,阿拉山口,07:38
5802/X802,普快,阿拉山口,23:12,乌西,第2日08:28,08:45,乌鲁木齐,08:58
5815,普快,乌鲁木齐南,21:21,乌西,当天21:46,21:53,伊宁,07:00
5816,普快,伊宁,21:38,乌西,第2日08:08,08:14,乌鲁木齐南,08:47
7567,普快,乌鲁木齐南,23:00,乌西,当天23:59,23:59,乌西,23:59
7568,普快,乌西,23:00,乌西,当天23:00,23:00,乌鲁木齐南,23:59
7572,普慢,乌西,23:00,乌西,当天23:00,23:00,乌鲁木齐南,23:59
K6703,快速,乌西,18:39,乌西,当天18:39,18:39,北屯市,08:30
K6711,快速,乌西,17:10,乌西,当天17:10,17:10,北屯市,06:02
K6714,快速,伊宁,21:03,乌西,第2日06:00,06:00,乌西,06:00
K9765,快速,乌鲁木齐,19:02,乌西,当天19:15,19:21,霍尔果斯,07:42
K9766,快速,霍尔果斯,21:30,乌西,第2日10:31,10:37,乌鲁木齐,10:52
K9789,快速,乌鲁木齐,20:07,乌西,当天20:20,20:26,霍尔果斯,07:43
K9790,快速,霍尔果斯,20:00,乌西,第2日06:11,06:17,乌鲁木齐,06:30
