车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3321,动车组,上海虹桥,18:41,武夷山东,当天22:23,22:23,武夷山东,22:23
D3322,动车组,武夷山东,07:31,武夷山东,当天07:31,07:31,上海虹桥,11:23
D4651/D4654,动车组,宁波,15:05,武夷山东,当天20:35,20:35,武夷山东,20:35
D4652/D4653,动车组,武夷山东,09:12,武夷山东,当天09:12,09:12,宁波,14:36
D6241,动车组,武夷山东,14:47,武夷山东,当天14:47,14:47,厦门北,18:01
D6242,动车组,厦门,11:23,武夷山东,当天15:07,15:07,武夷山东,15:07
D6552,动车组,武夷山东,22:32,武夷山东,当天22:32,22:32,上饶,23:12
D9981/D9984,动车组,福州南,07:16,武夷山东,当天08:49,08:49,武夷山东,08:49
D9982/D9983,动车组,武夷山东,20:59,武夷山东,当天20:59,20:59,福州,22:14
G1611,高速动车,合肥南,07:35,武夷山东,当天10:40,10:42,厦门北,13:43
G1631,高速动车,上海虹桥,07:54,武夷山东,当天11:03,11:05,福州,12:18
G1633,高速动车,上海虹桥,12:25,武夷山东,当天15:49,15:51,福州,17:17
G1635,高速动车,上海虹桥,14:35,武夷山东,当天17:51,17:53,福州,18:59
G1636,高速动车,福州,12:26,武夷山东,当天13:35,13:37,上海虹桥,16:55
G1637,高速动车,上海虹桥,15:17,武夷山东,当天19:04,19:06,福州,20:18
G1638,高速动车,福州,12:45,武夷山东,当天14:01,14:03,上海虹桥,17:21
G1640,高速动车,福州,17:56,武夷山东,当天19:05,19:07,上海虹桥,22:43
G1641,高速动车,杭州东,18:58,武夷山东,当天21:17,21:19,福州,22:26
G1642,高速动车,福州,14:45,武夷山东,当天15:54,15:56,杭州东,18:32
G1653,高速动车,上海虹桥,08:15,武夷山东,当天11:46,11:48,厦门北,14:40
G1655,高速动车,上海虹桥,09:23,武夷山东,当天12:36,12:38,厦门北,15:44
G1656,高速动车,厦门北,14:09,武夷山东,当天17:05,17:07,上海虹桥,20:38
G1657,高速动车,上海虹桥,10:18,武夷山东,当天13:34,13:36,厦门北,16:46
G1661/G1664,高速动车,南京南,08:22,武夷山东,当天12:21,12:23,龙岩,17:04
G1671,高速动车,南京南,07:00,武夷山东,当天11:12,11:14,厦门北,14:28
G1676,高速动车,厦门北,14:52,武夷山东,当天17:55,17:57,徐州东,23:06
G1677,高速动车,南京南,16:29,武夷山东,当天20:16,20:18,福州,21:31
G1678,高速动车,厦门北,15:40,武夷山东,当天18:35,18:37,南京南,22:37
G1685/G1688,高速动车,厦门北,09:21,武夷山东,当天12:39,12:41,贵阳北,20:29
G1692/G1693,高速动车,长沙南,08:18,武夷山东,当天12:03,12:05,厦门北,15:07
G1695/G1698,高速动车,福州,08:42,武夷山东,当天09:51,09:53,昆明南,19:28
G1905/G1908,高速动车,郑州东,06:30,武夷山东,当天13:46,13:48,福州,15:00
G1906/G1907,高速动车,福州,15:22,武夷山东,当天16:24,16:26,郑州东,23:07
G27,高速动车,北京南,09:45,武夷山东,当天16:30,16:35,福州,17:33
G28,高速动车,福州,09:52,武夷山东,当天10:47,10:50,北京南,17:35
G303,高速动车,北京南,12:30,武夷山东,当天20:27,20:30,福州,21:43
G321,高速动车,北京南,08:40,武夷山东,当天17:05,17:07,厦门北,20:07
G325,高速动车,北京南,12:05,武夷山东,当天19:42,19:44,厦门北,23:09
G326,高速动车,厦门北,10:59,武夷山东,当天13:57,13:59,北京南,22:19
G353,高速动车,黄山北,10:41,武夷山东,当天12:15,12:17,福州,13:40
G354,高速动车,福州,07:17,武夷山东,当天08:33,08:35,黄山北,10:01
G355,高速动车,北京南,08:40,武夷山东,当天17:02,17:04,厦门北,20:07
G356,高速动车,厦门北,10:59,武夷山东,当天13:55,13:57,北京南,22:19
G4021,高速动车,黄山北,10:37,武夷山东,当天12:15,12:17,福州,13:25
G4022,高速动车,福州,16:14,武夷山东,当天17:25,17:27,黄山北,18:51
G4881,高速动车,上海虹桥,01:39,武夷山东,当天04:23,04:33,福州,06:03
G4882,高速动车,厦门北,19:09,武夷山东,当天22:22,22:24,上海虹桥,01:19
G5105,高速动车,上饶,07:25,武夷山东,当天08:01,08:03,福州,09:22
G5106,高速动车,福州,19:45,武夷山东,当天21:08,21:10,上饶,21:48
G5202/G5203,高速动车,福州,17:07,武夷山东,当天18:18,18:20,南昌西,20:18
G5205/G5208,高速动车,南昌西,13:29,武夷山东,当天15:22,15:24,厦门,18:58
G5206/G5207,高速动车,厦门,10:57,武夷山东,当天14:53,14:55,南昌西,16:58
