车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2361,动车组,南宁东,12:24,梧州南,当天14:25,14:30,广州南,16:24
D2362,动车组,广州南,08:06,梧州南,当天09:51,09:55,南宁东,12:02
D2363,动车组,南宁东,12:47,梧州南,当天14:48,14:53,广州南,16:46
D2364,动车组,广州南,08:17,梧州南,当天10:05,10:09,南宁东,12:16
D2365,动车组,南宁东,13:10,梧州南,当天15:05,15:10,广州南,17:08
D2366,动车组,广州南,08:48,梧州南,当天10:33,10:37,南宁东,12:50
D2371,动车组,南宁东,11:57,梧州南,当天14:06,14:10,广州南,15:54
D2372,动车组,广州南,07:48,梧州南,当天09:33,09:37,南宁东,11:37
D3529,动车组,贵阳北,15:55,梧州南,当天22:44,22:44,梧州南,22:44
D3530,动车组,梧州南,09:00,梧州南,当天09:00,09:00,贵阳北,15:27
D3567,动车组,贵阳北,16:00,梧州南,当天22:50,22:50,梧州南,22:50
D3601,动车组,梧州南,08:30,梧州南,当天08:30,08:30,广州南,10:21
D3602,动车组,广州南,07:43,梧州南,当天09:27,09:31,南宁东,11:32
D3603,动车组,南宁东,07:10,梧州南,当天09:05,09:09,广州南,11:11
D3604,动车组,珠海,08:10,梧州南,当天10:57,11:01,南宁东,12:56
D3605,动车组,南宁,07:02,梧州南,当天09:24,09:28,广州南,11:23
D3606,动车组,广州南,09:54,梧州南,当天11:45,11:49,南宁东,13:50
D3607,动车组,南宁东,07:40,梧州南,当天09:43,09:48,广州南,11:43
D3608,动车组,广州南,10:18,梧州南,当天12:03,12:07,南宁东,14:08
D3609,动车组,南宁东,07:50,梧州南,当天10:04,10:09,广州南,12:01
D3610,动车组,广州南,10:30,梧州南,当天12:15,12:19,南宁东,14:20
D3611,动车组,南宁,07:54,梧州南,当天10:10,10:21,广州南,12:17
D3612,动车组,广州南,10:43,梧州南,当天12:28,12:32,南宁东,14:39
D3613,动车组,南宁东,08:18,梧州南,当天10:31,10:35,广州南,12:23
D3614,动车组,广州南,10:54,梧州南,当天12:39,12:44,南宁东,14:46
D3615,动车组,南宁东,08:46,梧州南,当天11:00,11:04,广州南,13:00
D3616,动车组,广州南,11:25,梧州南,当天13:10,13:15,南宁东,15:36
D3617,动车组,南宁东,09:03,梧州南,当天11:10,11:14,广州南,13:08
D3618,动车组,广州南,11:37,梧州南,当天13:21,13:25,南宁东,15:20
D3619,动车组,南宁,09:18,梧州南,当天11:33,11:37,广州南,13:25
D3620,动车组,广州南,12:06,梧州南,当天13:46,13:50,南宁东,15:57
D3621,动车组,南宁东,11:54,梧州南,当天13:50,13:55,广州南,15:35
D3622,动车组,广州南,12:14,梧州南,当天14:05,14:09,南宁东,16:16
D3623,动车组,南宁东,09:13,梧州南,当天11:20,11:26,广州南,13:14
D3624,动车组,广州南,13:52,梧州南,当天15:37,15:41,南宁,18:09
D3625,动车组,南宁,13:22,梧州南,当天15:32,15:37,广州南,17:22
D3626,动车组,广州南,16:19,梧州南,当天18:07,18:11,南宁东,20:24
D3627,动车组,南宁东,13:52,梧州南,当天15:54,15:59,广州南,17:45
D3628,动车组,广州南,16:57,梧州南,当天18:43,18:47,南宁东,20:54
D3629,动车组,南宁东,14:10,梧州南,当天16:12,16:17,广州南,18:25
D3630,动车组,广州南,17:20,梧州南,当天19:11,19:15,南宁东,21:10
D3631/D3634,动车组,南宁东,14:54,梧州南,当天17:13,17:17,广州南,19:15
D3632/D3633,动车组,广州南,17:37,梧州南,当天19:21,19:25,南宁东,21:20
D3635/D3638,动车组,南宁东,15:24,梧州南,当天17:31,17:35,广州南,19:27
D3636/D3637,动车组,广州南,16:28,梧州南,当天18:19,18:23,南宁东,20:39
D3639/D3642,动车组,广州南,18:53,梧州南,当天20:38,20:43,南宁东,22:44
D3640/D3641,动车组,南宁东,15:47,梧州南,当天18:00,18:04,广州南,20:04
D3643,动车组,南宁东,16:57,梧州南,当天18:58,19:02,珠海,21:54
D3644,动车组,广州南,19:23,梧州南,当天21:08,21:12,南宁东,23:13
D3645/D3648,动车组,广州南,19:23,梧州南,当天21:14,21:18,南宁东,23:25
D3646/D3647,动车组,广州南,19:35,梧州南,当天21:20,21:24,南宁东,23:25
D3650,动车组,广州南,19:46,梧州南,当天21:32,21:36,南宁东,23:37
D3651,动车组,南宁东,07:30,梧州南,当天09:37,09:41,广州南,11:29
D3652,动车组,广州南,12:58,梧州南,当天14:49,14:53,柳州,17:13
D3653,动车组,南宁东,08:36,梧州南,当天10:37,10:41,广州南,12:29
D3654,动车组,广州南,17:58,梧州南,当天19:43,19:47,南宁东,21:55
D3655,动车组,柳州,17:29,梧州南,当天19:46,19:50,广州南,21:42
D3656,动车组,广州南,19:10,梧州南,当天20:55,20:59,南宁东,23:00
D3657,动车组,柳州,13:52,梧州南,当天16:04,16:08,广州南,17:48
D3658/D3754,动车组,广州南,09:36,梧州南,当天11:17,11:21,柳州,13:31
D3659,动车组,南宁东,09:46,梧州南,当天11:53,11:57,广州南,13:49
D3660,动车组,广州南,18:59,梧州南,当天20:49,20:53,南宁东,22:50
D3661/D3664,动车组,北海,10:14,梧州南,当天14:03,14:07,广州南,15:53
D3662/D3663,动车组,广州南,14:56,梧州南,当天16:43,16:50,北海,20:46
D3665,动车组,柳州,12:48,梧州南,当天15:24,15:29,广州南,17:18
D3666,动车组,广州南,08:14,梧州南,当天09:59,10:03,柳州,12:27
D3667,动车组,柳州,18:13,梧州南,当天20:45,20:49,广州南,22:45
D3668,动车组,广州南,13:32,梧州南,当天15:18,15:21,柳州,17:45
D3676/D3677,动车组,广州,14:06,梧州南,当天15:59,16:03,南宁东,18:16
D3679,动车组,南宁东,09:36,梧州南,当天11:43,11:47,广州,13:46
D3680,动车组,广州,14:06,梧州南,当天15:59,16:03,南宁东,18:16
D3681/D3684,动车组,防城港北,09:12,梧州南,当天12:37,12:41,广州南,14:21
D3682,动车组,广州南,11:43,梧州南,当天13:34,13:43,钦州东,16:52
D3683,动车组,南宁东,09:40,梧州南,当天11:41,11:46,广州南,13:38
D3685/D3688,动车组,防城港北,10:40,梧州南,当天13:59,14:03,广州南,15:50
D3686,动车组,广州南,16:13,梧州南,当天18:01,18:05,防城港北,21:34
D3687,动车组,南宁东,13:50,梧州南,当天15:57,16:01,广州南,18:01
