车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6904,城际高速,株洲南,09:17,湘府路,当天09:56,09:57,长沙,10:08
C6907,城际高速,长沙,12:40,湘府路,当天12:50,12:51,株洲南,13:32
C6910,城际高速,株洲南,15:50,湘府路,当天16:30,16:31,长沙,16:42
C6912,城际高速,株洲南,18:15,湘府路,当天18:51,18:52,长沙,19:00
C6913,城际高速,长沙,19:15,湘府路,当天19:25,19:26,株洲南,20:11
C6914,城际高速,株洲南,20:27,湘府路,当天21:02,21:03,长沙,21:14
C6915,城际高速,长沙,21:30,湘府路,当天21:40,21:41,株洲南,22:30
C6916,城际高速,株洲南,08:00,湘府路,当天08:53,08:54,长沙,09:09
C6918,城际高速,株洲南,08:07,湘府路,当天08:47,08:48,长沙,08:56
C6919,城际高速,长沙,09:11,湘府路,当天09:24,09:25,株洲南,10:02
C6924,城际高速,株洲南,14:45,湘府路,当天15:23,15:24,长沙,15:35
C6925,城际高速,长沙,15:50,湘府路,当天16:00,16:01,株洲南,16:38
C6931,城际高速,长沙,09:30,湘府路,当天09:43,09:44,株洲南,10:29
C6932,城际高速,株洲南,10:45,湘府路,当天11:27,11:28,长沙,11:39
C6934,城际高速,株洲南,15:15,湘府路,当天16:02,16:03,长沙,16:17
C6953,城际高速,长沙,07:55,湘府路,当天08:02,08:03,湘潭,08:39
C6955,城际高速,长沙,10:00,湘府路,当天10:10,10:11,湘潭,10:47
C6956,城际高速,湘潭,11:02,湘府路,当天11:44,11:45,长沙,11:56
C6960,城际高速,湘潭,15:10,湘府路,当天15:48,15:49,长沙,16:00
C6970,城际高速,湘潭,10:05,湘府路,当天10:43,10:44,长沙,10:55
C6975,城际高速,长沙,15:25,湘府路,当天15:38,15:39,湘潭,16:15
C6977,城际高速,长沙,17:30,湘府路,当天17:40,17:41,湘潭,18:23
C6979,城际高速,长沙,19:39,湘府路,当天19:49,19:50,湘潭,20:30
C6980,城际高速,湘潭,20:45,湘府路,当天21:23,21:24,长沙,21:35
C6982,城际高速,湘潭,21:00,湘府路,当天21:51,21:52,长沙,22:07
C6984,城际高速,湘潭,08:23,湘府路,当天09:00,09:01,长沙,09:15
C6985,城际高速,长沙,11:55,湘府路,当天12:05,12:06,湘潭,12:45
C6986,城际高速,湘潭,13:01,湘府路,当天13:38,13:39,长沙,13:50
C6987,城际高速,长沙,16:35,湘府路,当天16:48,16:49,湘潭,17:29
C6988,城际高速,湘潭,17:45,湘府路,当天18:22,18:23,长沙,18:34
C6989,城际高速,长沙,18:00,湘府路,当天18:14,18:15,湘潭,19:08
