车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3009,普快,北京西,01:43,襄阳,当天19:41,20:01,宜昌东,01:07
3010,普快,利川,22:20,襄阳,第2日05:25,05:50,北京西,00:36
3030/3031,普快,库尔勒,17:05,襄阳,第4日09:56,09:56,襄阳,09:56
3046/3047,普快,深圳,22:35,襄阳,第2日23:55,23:55,襄阳,23:55
3161/3164,普快,安康,12:21,襄阳,当天17:55,18:15,广州,16:22
3162/3163,普快,广州,01:25,襄阳,当天20:17,20:37,达州,06:17
3171/3174,普快,洛阳,10:05,襄阳,当天17:10,17:30,深圳,00:45
3177/3180,普快,襄阳,23:59,襄阳,当天23:59,23:59,深圳东,21:25
3237/3240,普快,洛阳,14:00,襄阳,当天20:38,20:54,广州东,17:58
3238,普快,广州东,19:00,襄阳,第2日18:52,19:15,洛阳,01:50
3331,普快,南阳,22:32,襄阳,第2日01:00,01:20,广州,22:03
3335/3338,普快,成都,03:42,襄阳,当天17:48,18:08,宁波,01:38
3336/3337,普快,宁波,06:43,襄阳,第2日15:00,15:25,成都,04:15
3399,普快,北京,01:30,襄阳,当天19:30,19:30,襄阳,19:30
3400,普快,十堰,23:56,襄阳,第2日03:39,04:06,北京,00:30
3452,普快,十堰,17:08,襄阳,当天19:20,19:40,广州,17:53
D3083,动车组,南京南,15:49,襄阳,当天22:01,22:01,襄阳,22:01
D3084,动车组,襄阳,09:10,襄阳,当天09:10,09:10,南京南,15:10
D5201/D5204,动车组,襄阳,09:40,襄阳,当天09:40,09:40,武昌,12:14
D5203,动车组,汉口,07:00,襄阳,当天09:20,09:20,襄阳,09:20
D5215/D5218,动车组,襄阳,19:00,襄阳,当天19:00,19:00,武汉,21:49
D5220,动车组,襄阳,19:52,襄阳,当天19:52,19:52,汉口,22:05
D5221,动车组,汉口,11:20,襄阳,当天13:45,13:45,襄阳,13:45
D5223,动车组,汉口,10:50,襄阳,当天13:06,13:06,襄阳,13:06
D5224/D5225,动车组,武汉,19:20,襄阳,当天22:19,22:19,襄阳,22:19
D5226,动车组,襄阳,08:10,襄阳,当天08:10,08:10,武汉,11:30
D5228/D5229,动车组,黄冈东,17:15,襄阳,当天20:57,20:57,襄阳,20:57
D5231/D5234,动车组,襄阳,14:05,襄阳,当天14:05,14:05,武昌,16:40
D5232/D5233,动车组,武昌,17:00,襄阳,当天19:32,19:32,襄阳,19:32
D5235/D5238,动车组,襄阳,13:00,襄阳,当天13:00,13:00,黄冈东,16:45
D5236/D5237,动车组,黄冈东,14:53,襄阳,当天18:35,18:35,襄阳,18:35
D5239,动车组,汉口,07:50,襄阳,当天10:10,10:10,襄阳,10:10
D5240,动车组,襄阳,10:40,襄阳,当天10:40,10:40,汉口,13:05
D5241/D5244,动车组,襄阳,18:15,襄阳,当天18:15,18:15,武昌,20:54
D5242/D5243,动车组,武昌,09:10,襄阳,当天11:46,11:46,襄阳,11:46
D5245,动车组,汉口,15:10,襄阳,当天17:40,17:40,襄阳,17:40
D5246,动车组,襄阳,12:15,襄阳,当天12:15,12:15,汉口,14:53
D5247/D5250,动车组,襄阳,08:50,襄阳,当天08:50,08:50,大冶北,12:34
D5248/D5249,动车组,大冶北,08:50,襄阳,当天12:35,12:35,襄阳,12:35
D5252/D5253,动车组,武汉,10:25,襄阳,当天13:06,13:06,襄阳,13:06
D5254,动车组,襄阳,18:50,襄阳,当天18:50,18:50,武汉,21:35
