车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6903,城际高速,长沙,08:05,香樟路,当天08:13,08:14,株洲南,09:00
C6904,城际高速,株洲南,09:17,香樟路,当天10:00,10:01,长沙,10:08
C6905,城际高速,长沙,10:25,香樟路,当天10:30,10:31,株洲南,11:13
C6906,城际高速,株洲南,11:30,香樟路,当天12:14,12:15,长沙,12:22
C6907,城际高速,长沙,12:40,香樟路,当天12:45,12:46,株洲南,13:32
C6908,城际高速,株洲南,13:50,香樟路,当天14:27,14:28,长沙,14:35
C6909,城际高速,长沙,14:50,香樟路,当天14:55,14:56,株洲南,15:35
C6911,城际高速,长沙,17:00,香樟路,当天17:05,17:06,株洲南,18:00
C6913,城际高速,长沙,19:15,香樟路,当天19:20,19:21,株洲南,20:11
C6916,城际高速,株洲南,08:00,香樟路,当天08:58,08:59,长沙,09:09
C6919,城际高速,长沙,09:11,香樟路,当天09:19,09:20,株洲南,10:02
C6920,城际高速,株洲南,10:17,香樟路,当天11:01,11:02,长沙,11:09
C6921,城际高速,长沙,11:25,香樟路,当天11:30,11:31,株洲南,12:18
C6922,城际高速,株洲南,12:35,香樟路,当天13:19,13:20,长沙,13:30
C6923,城际高速,长沙,13:45,香樟路,当天13:50,13:51,株洲南,14:30
C6926,城际高速,株洲南,16:55,香樟路,当天17:36,17:37,长沙,17:44
C6928,城际高速,株洲南,19:00,香樟路,当天19:44,19:45,长沙,19:52
C6929,城际高速,长沙,20:10,香樟路,当天20:15,20:16,株洲南,21:03
C6931,城际高速,长沙,09:30,香樟路,当天09:38,09:39,株洲南,10:29
C6934,城际高速,株洲南,15:15,香樟路,当天16:06,16:07,长沙,16:17
C6935,城际高速,长沙,18:50,香樟路,当天18:55,18:56,株洲南,19:35
C6936,城际高速,株洲南,19:50,香樟路,当天20:38,20:39,长沙,20:45
C6954,城际高速,湘潭,08:55,香樟路,当天09:36,09:37,长沙,09:45
C6957,城际高速,长沙,12:11,香樟路,当天12:19,12:20,湘潭,13:00
C6958,城际高速,湘潭,13:15,香樟路,当天13:52,13:53,长沙,13:59
C6959,城际高速,长沙,14:15,香樟路,当天14:20,14:21,湘潭,14:55
C6961,城际高速,长沙,16:15,香樟路,当天16:20,16:21,湘潭,17:05
C6964,城际高速,湘潭,19:15,香樟路,当天20:01,20:02,长沙,20:08
C6965,城际高速,长沙,20:25,香樟路,当天20:33,20:34,湘潭,21:17
C6968,城际高速,湘潭,07:55,香樟路,当天08:34,08:35,长沙,08:41
C6969,城际高速,长沙,09:00,香樟路,当天09:08,09:09,湘潭,09:51
C6971,城际高速,长沙,11:11,香樟路,当天11:16,11:17,湘潭,12:04
C6972,城际高速,湘潭,12:19,香樟路,当天13:01,13:02,长沙,13:08
C6973,城际高速,长沙,13:23,香樟路,当天13:28,13:29,湘潭,14:03
C6974,城际高速,湘潭,14:20,香樟路,当天15:01,15:02,长沙,15:09
C6975,城际高速,长沙,15:25,香樟路,当天15:33,15:34,湘潭,16:15
C6976,城际高速,湘潭,16:30,香樟路,当天17:06,17:07,长沙,17:14
C6981,城际高速,长沙,21:50,香樟路,当天21:55,21:56,湘潭,22:47
C6982,城际高速,湘潭,21:00,香樟路,当天21:56,21:57,长沙,22:07
C6984,城际高速,湘潭,08:23,香樟路,当天09:04,09:05,长沙,09:15
C6987,城际高速,长沙,16:35,香樟路,当天16:43,16:44,湘潭,17:29
C6989,城际高速,长沙,18:00,香樟路,当天18:09,18:10,湘潭,19:08
C6990,城际高速,湘潭,19:46,香樟路,当天20:35,20:36,长沙,20:46
